,King,Prince,Kingdom,Distribution
0,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
1,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
2,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
3,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
4,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
5,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
6,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
7,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
8,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
9,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
10,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
11,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
12,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
13,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
14,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
15,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
16,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
17,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
18,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
19,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
20,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
21,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
22,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
23,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
24,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
25,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
26,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
27,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
28,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
29,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
30,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
31,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
32,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
33,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
34,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
35,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
36,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
37,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
38,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
39,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
40,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
41,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
42,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
43,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
44,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
45,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
46,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
47,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
48,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
49,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
50,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
51,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
52,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
53,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
54,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
55,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
56,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
57,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
58,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
59,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
60,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
61,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
62,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
63,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
64,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
65,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
66,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
67,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
68,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
