x,y
1,8
1.001,14
1.002,12
1.003,10
1.004,9
1.005,4
1.006,7
1.007,5
1.008,6
1.009,11
1.01,10
1.011,7
1.012,8
1.013,7
1.014,7
1.015,6
1.016,8
1.017,8
1.018,7
1.019,10
1.02,5
1.021,2
1.022,8
1.023,7
1.024,8
1.025,10
1.026,8
1.027,11
1.028,6
1.029,16
1.03,5
1.031,10
1.032,6
1.033,12
1.034,7
1.035,8
1.036,10
1.037,12
1.038,9
1.039,6
1.04,9
1.041,5
1.042,10
1.043,10
1.044,9
1.045,11
1.046,14
1.047,5
1.048,8
1.049,7
1.05,8
1.051,7
1.052,2
1.053,7
1.054,4
1.055,8
1.056,11
1.057,7
1.058,7
1.059,7
1.06,7
1.061,9
1.062,12
1.063,11
1.064,7
1.065,7
1.066,14
1.067,8
1.068,7
1.069,12
1.07,8
1.071,6
1.072,9
1.073,8
1.074,7
1.075,8
1.076,3
1.077,9
1.078,8
1.079,8
1.08,7
1.081,6
1.082,8
1.083,5
1.084,13
1.085,6
1.086,8
1.087,6
1.088,6
1.089,8
1.09,5
1.091,9
1.092,7
1.093,9
1.094,10
1.095,4
1.096,7
1.097,7
1.098,10
1.099,5
1.1,5
1.101,13
1.102,7
1.103,12
1.104,10
1.105,9
1.106,11
1.107,11
1.108,7
1.109,8
1.11,7
1.111,10
1.112,9
1.113,19
1.114,7
1.115,8
1.116,5
1.117,12
1.118,8
1.119,8
1.12,6
1.121,13
1.122,9
1.123,15
1.124,8
1.125,4
1.126,8
1.127,11
1.128,8
1.129,7
1.13,4
1.131,15
1.132,13
1.133,8
1.134,11
1.135,11
1.136,9
1.137,5
1.138,10
1.139,7
1.14,5
1.141,10
1.142,11
1.143,11
1.144,6
1.145,7
1.146,6
1.147,11
1.148,9
1.149,9
1.15,12
1.151,11
1.152,6
1.153,9
1.154,11
1.155,6
1.156,8
1.157,4
1.158,9
1.159,9
1.16,9
1.161,9
1.162,9
1.163,10
1.164,4
1.165,9
1.166,10
1.167,7
1.168,9
1.169,8
1.17,11
1.171,11
1.172,11
1.173,17
1.174,12
1.175,7
1.176,12
1.177,9
1.178,11
1.179,8
1.18,6
1.181,12
1.182,9
1.183,11
1.184,5
1.185,6
1.186,10
1.187,6
1.188,6
1.189,7
1.19,11
1.191,8
1.192,10
1.193,10
1.194,12
1.195,8
1.196,8
1.197,11
1.198,6
1.199,5
1.2,8
1.201,7
1.202,6
1.203,8
1.204,7
1.205,14
1.206,10
1.207,12
1.208,6
1.209,6
1.21,7
1.211,6
1.212,11
1.213,6
1.214,10
1.215,10
1.216,11
1.217,4
1.218,4
1.219,12
1.22,8
1.221,9
1.222,10
1.223,15
1.224,7
1.225,7
1.226,10
1.227,5
1.228,6
1.229,11
1.23,9
1.231,7
1.232,11
1.233,9
1.234,10
1.235,9
1.236,7
1.237,9
1.238,5
1.239,8
1.24,10
1.241,6
1.242,8
1.243,8
1.244,7
1.245,11
1.246,8
1.247,11
1.248,16
1.249,10
1.25,13
1.251,5
1.252,10
1.253,14
1.254,10
1.255,5
1.256,7
1.257,2
1.258,16
1.259,6
1.26,5
1.261,15
1.262,10
1.263,6
1.264,2
1.265,8
1.266,10
1.267,14
1.268,5
1.269,6
1.27,8
1.271,9
1.272,10
1.273,9
1.274,12
1.275,9
1.276,6
1.277,15
1.278,8
1.279,16
1.28,8
1.281,13
1.282,8
1.283,10
1.284,13
1.285,16
1.286,15
1.287,15
1.288,13
1.289,5
1.29,9
1.291,9
1.292,8
1.293,11
1.294,7
1.295,8
1.296,3
1.297,5
1.298,16
1.299,13
1.3,6
1.301,15
1.302,10
1.303,7
1.304,7
1.305,10
1.306,6
1.307,13
1.308,12
1.309,14
1.31,10
1.311,7
1.312,9
1.313,11
1.314,17
1.315,10
1.316,11
1.317,14
1.318,6
1.319,9
1.32,12
1.321,11
1.322,7
1.323,8
1.324,10
1.325,15
1.326,4
1.327,5
1.328,9
1.329,12
1.33,11
1.331,15
1.332,15
1.333,11
1.334,11
1.335,17
1.336,12
1.337,11
1.338,6
1.339,6
1.34,9
1.341,9
1.342,12
1.343,11
1.344,8
1.345,9
1.346,13
1.347,13
1.348,11
1.349,11
1.35,9
1.351,15
1.352,8
1.353,9
1.354,5
1.355,12
1.356,10
1.357,11
1.358,9
1.359,12
1.36,5
1.361,11
1.362,8
1.363,6
1.364,4
1.365,11
1.366,14
1.367,13
1.368,9
1.369,13
1.37,7
1.371,13
1.372,9
1.373,14
1.374,8
1.375,8
1.376,7
1.377,10
1.378,13
1.379,10
1.38,12
1.381,8
1.382,9
1.383,10
1.384,8
1.385,13
1.386,7
1.387,10
1.388,10
1.389,5
1.39,9
1.391,12
1.392,10
1.393,19
1.394,8
1.395,7
1.396,9
1.397,10
1.398,6
1.399,12
1.4,12
1.401,6
1.402,13
1.403,6
1.404,9
1.405,8
1.406,9
1.407,10
1.408,5
1.409,17
1.41,10
1.411,10
1.412,10
1.413,16
1.414,10
1.415,5
1.416,9
1.417,16
1.418,7
1.419,9
1.42,9
1.421,11
1.422,12
1.423,10
1.424,14
1.425,11
1.426,7
1.427,7
1.428,12
1.429,19
1.43,11
1.431,11
1.432,5
1.433,13
1.434,7
1.435,10
1.436,17
1.437,13
1.438,18
1.439,10
1.44,17
1.441,14
1.442,16
1.443,7
1.444,14
1.445,13
1.446,3
1.447,11
1.448,8
1.449,13
1.45,10
1.451,10
1.452,12
1.453,14
1.454,10
1.455,4
1.456,16
1.457,11
1.458,8
1.459,9
1.46,5
1.461,10
1.462,15
1.463,10
1.464,10
1.465,13
1.466,10
1.467,13
1.468,13
1.469,16
1.47,11
1.471,6
1.472,13
1.473,10
1.474,7
1.475,3
1.476,15
1.477,7
1.478,13
1.479,16
1.48,14
1.481,12
1.482,13
1.483,7
1.484,14
1.485,10
1.486,7
1.487,8
1.488,10
1.489,10
1.49,7
1.491,20
1.492,8
1.493,11
1.494,13
1.495,11
1.496,11
1.497,7
1.498,11
1.499,10
1.5,10
1.501,8
1.502,16
1.503,11
1.504,11
1.505,4
1.506,14
1.507,10
1.508,8
1.509,8
1.51,10
1.511,10
1.512,15
1.513,11
1.514,16
1.515,16
1.516,15
1.517,8
1.518,6
1.519,7
