x,y
1,6
2,11
3,18
4,27
5,22
6,29
7,38
8,44
9,43
10,43
11,48
12,46
13,46
14,62
15,58
16,71
17,60
18,69
19,51
20,64
21,63
22,65
23,60
24,65
25,68
26,60
27,57
28,69
29,67
30,76
31,75
32,77
33,65
34,90
35,74
36,71
37,74
38,76
39,77
40,73
41,67
42,74
43,64
44,74
45,89
46,78
47,84
48,77
49,70
50,84
51,72
52,91
53,84
54,84
55,85
56,97
57,86
58,93
59,65
60,84
61,77
62,94
63,100
64,93
65,78
66,110
67,75
68,73
69,84
70,81
71,71
72,69
73,86
74,89
75,86
76,82
77,80
78,65
79,88
80,81
81,87
82,102
83,91
84,95
85,86
86,92
87,94
88,84
89,93
90,80
91,79
92,92
93,88
94,84
95,94
96,84
97,83
98,71
99,104
100,106
