Global Flag,Major Flag,SMC Flag,Commercial Flag,IT Spend,Employee Count,PC Count,Size,Tech Support,Discount,New Engagement Strategy,New Product Adoption,Planning Summit,Revenue,Direct Treatment Effect: Tech Support,Total Treatment Effect: Tech Support,Direct Treatment Effect: Discount,Total Treatment Effect: Discount,Direct Treatment Effect: New Engagement Strategy,Total Treatment Effect: New Engagement Strategy
0,0,1,1,72490,27,25,220417,1,0,0,1,0,39691.32,9408.34,10332.57,11020.85,11020.85,0,0
0,0,1,0,5985,19,12,12510,1,0,1,1,1,14492.54,5250.2,6174.43,625.5,625.5,0,0
0,0,1,0,34399,82,55,123530,0,0,0,0,0,16215.76,7470.6,8394.83,6176.5,6176.5,0,0
0,1,1,1,29705,103,58,79297,0,1,1,1,1,25426.04,6585.9400000000005,7510.17,3964.8500000000004,3964.8500000000004,0,0
0,0,1,1,13498,60,26,25472,1,0,1,1,1,21005.51,5509.44,6433.67,1273.6000000000001,1273.6000000000001,0,0
0,0,1,0,1625,149,108,6435,0,1,1,1,0,8637.43,5128.7,6052.93,321.75,321.75,0,0
0,0,0,0,64679,52,25,188629,1,0,0,1,0,32006.67,8772.58,9696.81,9431.45,9431.45,0,0
0,1,0,1,38179,109,117,71197,0,1,1,1,1,27204.68,6423.9400000000005,7348.17,3559.8500000000004,3559.8500000000004,0,0
0,0,0,1,25674,139,137,94146,0,1,1,0,1,22617.7,6882.92,7807.15,4707.3,4707.3,0,0
0,0,0,0,37050,44,20,86241,1,0,0,1,0,23025.32,6724.82,7649.05,4312.05,4312.05,0,0
0,0,1,1,70672,124,62,152642,0,1,0,0,0,36212.11,8052.84,8977.07,7632.1,7632.1,0,0
0,0,1,1,35439,100,66,67672,0,1,0,0,0,21458.71,6353.4400000000005,7277.67,3383.6000000000004,3383.6000000000004,0,0
0,0,0,0,34336,226,89,66751,0,1,0,0,0,15911.34,6335.02,7259.25,3337.55,3337.55,0,0
1,0,1,1,92973,184,92,301750,0,1,0,0,1,47505.24,11535.0,12459.23,14087.5,14087.5,0,0
