Guild Membership,Player Skill Level,Time Spent Playing,Side-quest Group Assignment,Customization Level,Side-quest Engagement,Won Items,In-game Purchases,Total Inventory
0,6.67,11.52,1,0.14,1,1,1030.29,622.95
0,22.84,42.12,1,0.12,1,0,2453.34,1468.98
0,31.61,61.03,0,0.25,1,1,3761.4,2259.71
1,5.92,8.77,0,0.41,1,1,1007.84,601.57
0,37.78,73.79,0,0.25,1,0,4153.94,2495.37
1,9.73,18.55,1,0.08,1,1,1495.72,892.83
0,6.97,9.73,0,0.33,1,1,992.46,599.45
1,23.12,43.36,0,0.71,1,1,2906.87,1755.94
1,8.99,15.75,0,0.58,0,0,1072.31,640.71
1,12.7,21.37,0,0.96,0,0,1427.88,853.42
1,8.13,14.86,0,0.44,1,1,1303.16,788.59
1,10.18,15.45,0,0.33,1,1,1420.88,853.85
1,22.04,41.33,0,0.69,1,1,2790.63,1669.53
0,9.04,16.6,1,0.41,1,1,1302.29,784.07
1,5.22,6.98,1,0.62,1,1,919.83,553.98
0,16.87,30.99,1,0.95,1,0,1822.28,1090.2
0,5.64,8.43,0,0.5,1,1,885.76,529.1
0,5.9,9.11,0,0.5,1,1,919.5,557.04
0,27.36,51.99,1,0.78,1,1,3276.77,1962.12
0,5.03,8.48,0,0.76,1,1,855.17,507.25
0,3.26,3.89,0,0.52,1,1,631.22,375.86
0,17.07,32.53,0,0.06,1,1,2175.62,1310.7
1,9.04,16.55,0,0.98,1,0,1100.33,658.89
0,10.2,17.86,0,0.38,1,1,1392.99,833.97
1,10.03,16.86,0,0.32,1,1,1455.62,874.03
0,15.29,27.87,0,0.98,1,1,1951.77,1174.5
1,6.84,11.68,1,0.87,1,1,1141.87,693.79
1,33.59,65.32,0,0.33,1,0,3788.13,2274.64
1,4.9,7.26,1,0.31,0,0,614.12,378.27
1,15.36,28.17,1,0.72,1,0,1763.2,1061.58
0,19.4,35.7,1,0.33,1,0,2090.52,1252.83
1,7.02,11.58,1,0.25,1,1,1148.94,694.82
1,5.54,9.38,0,0.98,1,0,709.59,428.94
1,30.71,57.99,1,0.57,1,1,3726.42,2242.66
1,8.97,13.38,1,0.76,1,0,998.62,602.85
0,9.29,15.03,0,0.71,1,1,1265.56,760.91
1,21.32,40.52,0,0.76,1,1,2732.01,1637.8
0,11.33,20.83,0,0.9,1,1,1539.66,925.47
1,4.69,5.86,0,0.5,1,1,860.57,509.93
0,40.53,78.91,1,0.75,1,0,4440.86,2663.7
1,8.13,13.67,0,0.8,1,1,1266.19,754.82
0,9.11,15.9,0,0.95,0,0,981.65,591.28
0,12.95,24.42,1,0.71,1,0,1430.18,862.28
1,22.75,40.81,0,0.89,1,1,2810.52,1688.89
1,46.17,90.09,1,0.1,1,1,5461.96,3277.37
1,4.36,6.45,1,0.13,1,1,859.85,515.48
0,20.14,38.74,1,0.16,1,0,2219.86,1337.92
0,19.77,37.74,1,0.14,1,1,2468.94,1487.3
1,10.94,19.61,1,0.09,1,1,1585.23,946.83
1,20.34,37.0,1,0.12,1,1,2577.61,1548.84
1,30.59,57.4,0,1.0,1,0,3400.03,2041.65
0,6.13,8.27,0,0.27,1,1,905.18,543.08
1,51.19,98.77,0,0.48,1,0,5675.1,3398.23
0,5.29,7.82,1,0.82,1,1,848.44,499.79
1,5.84,9.39,1,0.12,1,0,715.56,430.2
0,12.09,21.3,0,0.32,1,0,1293.62,767.71
0,43.74,85.88,1,0.16,1,1,5115.19,3067.5
1,8.98,16.29,1,0.06,1,1,1388.02,837.23
1,10.43,19.7,1,0.96,1,0,1263.02,759.89
0,32.27,61.16,0,0.86,1,0,3499.03,2096.43
0,9.63,16.84,0,0.88,1,0,1038.75,627.72
0,5.19,8.57,0,0.87,1,0,565.2,341.75
1,10.36,17.52,0,0.15,1,0,1193.89,713.89
0,30.25,58.69,0,0.78,1,1,3624.82,2183.5
0,11.49,21.89,1,0.73,1,0,1282.26,771.79
1,48.87,92.41,0,0.93,1,1,5664.98,3396.09
1,18.84,35.47,0,0.22,1,1,2457.35,1465.14
1,8.61,14.56,1,0.41,1,1,1316.61,792.08
1,11.1,21.03,0,0.29,1,0,1335.73,798.91
1,10.11,16.34,1,0.26,1,0,1144.56,686.84
1,9.14,14.11,1,0.65,1,1,1331.65,798.81
1,297.03,590.79,1,0.16,1,0,32723.76,19623.27
1,22.83,43.14,1,0.46,1,0,2590.07,1552.58
0,23.91,45.37,1,0.65,1,1,2905.97,1739.07
1,9.06,14.23,0,0.13,1,1,1330.23,796.6
0,38.67,74.27,0,0.26,1,1,4510.49,2704.4
0,28.21,53.1,0,0.97,1,1,3353.19,2013.23
0,42.67,83.01,0,0.8,1,0,4671.1,2804.16
0,42.29,83.03,0,0.68,1,1,4956.64,2977.29
1,4.09,6.71,0,0.86,1,1,855.47,502.29
1,6.78,10.66,1,0.01,0,0,809.68,492.92
1,6.72,10.43,1,0.01,1,1,1100.56,653.18
1,5.93,10.3,0,0.15,1,1,1053.63,633.11
0,13.85,25.77,0,0.5,0,0,1515.72,905.29
0,7.87,13.63,1,0.57,1,0,851.59,512.43
1,50.82,98.87,1,0.11,1,1,5955.05,3564.89
1,49.37,95.52,0,0.07,1,1,5784.51,3479.45
0,12.1,22.12,0,0.83,1,0,1317.47,788.68
1,56.34,108.28,0,0.46,1,0,6215.29,3731.67
0,33.58,65.37,0,0.99,1,0,3689.07,2209.44
0,8.68,14.51,1,0.23,1,0,918.32,559.29
0,3.74,5.04,0,0.65,1,0,388.54,226.26
0,11.32,19.68,0,0.8,1,0,1206.45,710.72
