User ID,Side-quest Engagement,In-game Purchases
67e6d848,low,224.39
360b6659,low,19.89
0dd2a4ef,low,221.26
cb15674f,low,222.84
3ae4e1a0,low,218.52
ebc9632c,low,0
266ad024,low,80.88
d7ffd91a,low,222.85
de67d513,low,231.57
da894fa9,low,226.78
99361266,low,224.1
52f12a17,low,0
972a4ebd,low,77.01
efce5b9b,low,226.86
e3bc49e8,low,220.85
6b4c51a4,low,21.94
ce2ac7b9,low,0
24aeaf3a,low,23.8
cd32a5ac,low,227.84
614eab1b,low,218.72
8fdcfb0f,low,230.81
be0d09fe,low,38.58
95cb9b76,low,233.92
82b51ad0,low,31.28
a2afdd0f,low,88.8
cc4a231e,low,235.21
1bfa6310,low,228.47
412fae6a,low,225.03
05035d10,low,223.2
49e8cfbf,low,27.85
e9568fa6,low,216.05
ad138566,low,29.9
61f483d3,low,36.32
59c9055a,low,75.48
e6083bc6,low,132.25
2420477c,low,225.18
34a527be,low,219.94
9914d404,low,68.78
cd0e10e6,low,229.43
38111a30,low,221.78
581d2f33,low,220.32
153b8e5a,low,226.37
a3c72c05,low,45.76
042b5117,low,70.86
d7986f9a,low,214.99
a05c17fb,low,221.27
5fbaf9fb,low,230.32
f07ec0cb,low,65.47
e63fe8b4,low,226.85
3c6646cc,low,225.03
8ed3ac1f,low,64.51
ed3046ef,low,221.89
270e2e6a,low,63.82
a522a290,low,81.29
ac96e723,low,231.09
58a3ea2b,low,28.91
8e58fcd0,low,5.58
97eafac7,low,49.88
42d93b31,low,95.73
6155b6a5,low,214.82
7f778cb6,low,24.83
d6c55497,low,0
bd74f956,low,228.64
d4f9b92e,low,0
c1f224e3,low,222.27
ea669a9c,low,14.43
d068373d,low,32.82
5c7ddf61,low,233.79
11460883,low,226.62
9aec31ce,low,223.31
d7fcca07,low,75.03
15996c47,low,227.9
8420346f,low,19.04
242d120a,low,233.87
83d233eb,low,222.25
2eb592cd,low,37.11
81757387,low,229.07
d6783b5a,low,225.01
b06e1240,low,224.67
33fa8acd,low,16.41
05a16bc7,low,26.63
9b9988d6,low,36.02
0ba1e673,low,217.32
68792446,low,224.63
708f0150,low,227.81
7de57abd,low,53.35
97447245,low,233.9
f4a705c8,low,226.78
a034daa4,low,47.26
c506b4de,low,36.12
c6c240c5,low,53.9
7f77de16,low,53.73
717ccf03,low,214.65
1082b357,low,55.12
ae3deacc,low,221.23
2aebcc8e,low,222.47
f842ce36,low,213.73
94b0136d,low,79.67
564553c2,low,226.16
504a652f,low,64.38
7376b643,low,21.92
7f13479f,low,218.34
