,User ID,Guild Membership,Side-quest Engagement,Inventory Rarity,In-game Purchases
0,91e7fde9,member,high,few or none,218.67
1,6dbb8ab7,member,high,many,35.77
2,1f8c33cc,member,high,many,121.5
3,e601373c,nonmember,low,few or none,0.24
4,3355d02f,nonmember,low,few or none,13.91
5,9740c9f9,nonmember,high,many,49.3
6,b4e93ac3,member,high,many,214.53
7,0a4a6a77,member,low,few or none,222.21
8,898b7d64,nonmember,low,few or none,41.48
9,160d3d22,nonmember,low,few or none,35.08
10,40e953bf,member,high,few or none,231.1
11,28944bab,nonmember,low,many,51.4
12,c8e89853,nonmember,high,many,49.44
13,2949796d,nonmember,low,few or none,34.66
14,2801488e,nonmember,high,many,55.66
15,2ba588d5,member,high,few or none,228.58
16,ae17faa1,member,high,few or none,218.0
17,e04a04f5,nonmember,low,few or none,6.12
18,f766a0f7,member,high,many,112.94
19,d9a3e0a0,nonmember,low,few or none,47.93
20,e53e11a2,nonmember,low,few or none,45.96
21,6d2ca7df,nonmember,low,few or none,65.97
22,d0a149b6,nonmember,low,few or none,59.13
23,b509754c,nonmember,low,few or none,51.82
24,8d9c067d,member,high,many,75.17
25,4591318e,nonmember,low,few or none,25.52
26,7e54943e,member,high,many,104.12
27,f5f35269,nonmember,high,many,53.33
28,1b947318,nonmember,low,many,47.28
29,55954e34,nonmember,low,few or none,3.18
30,18673976,nonmember,low,few or none,2.42
31,0c16345c,member,high,many,101.53
32,f856649c,nonmember,low,few or none,31.62
33,1b0b41fd,nonmember,high,many,60.18
34,cfbd8d94,nonmember,low,few or none,53.3
35,4bc7463c,member,high,many,103.28
36,eb3f484d,nonmember,high,many,48.82
37,16d3fc2c,nonmember,low,few or none,21.21
38,7c899f1f,nonmember,low,few or none,34.23
39,636d0ad2,member,high,many,129.44
40,c1dd73b6,nonmember,low,few or none,33.75
41,6b70f140,nonmember,low,many,60.3
42,2d958b9f,nonmember,low,few or none,44.19
43,34ccc2c0,nonmember,low,few or none,52.21
44,10c41c9b,nonmember,low,few or none,43.61
45,0b2f704c,member,high,many,109.81
46,cf073205,nonmember,high,many,57.6
47,6a30149b,nonmember,low,many,56.47
48,5c4bcc29,member,high,few or none,225.8
49,892fa715,member,high,many,138.22
50,ea04d446,nonmember,low,few or none,9.03
51,ebc5d29c,nonmember,low,few or none,46.47
52,4895187d,nonmember,high,many,50.44
53,07799e50,nonmember,low,many,52.05
54,969b6f17,nonmember,low,few or none,74.84
55,e739bc5c,nonmember,low,few or none,47.62
56,e8ec5bb7,nonmember,low,few or none,41.34
57,f862350b,nonmember,low,few or none,49.31
58,ee247ed6,nonmember,low,many,48.74
59,f32ff93e,nonmember,low,few or none,28.21
60,04cdfd3c,nonmember,low,few or none,7.63
61,1c9759c0,nonmember,high,few or none,33.11
62,fa95182e,nonmember,low,many,53.47
63,718e6105,nonmember,low,few or none,70.89
64,e7d0a25b,member,high,many,178.47
65,3009bc26,nonmember,low,few or none,17.88
66,01573ee7,nonmember,low,few or none,76.73
67,667dddbd,nonmember,low,many,54.68
68,2d3ac20b,nonmember,low,few or none,3.68
69,e9629ea1,nonmember,low,few or none,26.57
70,b10924ad,nonmember,low,few or none,13.9
71,38bddaf3,nonmember,low,many,53.25
72,d0231876,nonmember,low,many,58.07
73,4a802c51,nonmember,low,few or none,47.57
74,0aa90ed6,nonmember,low,few or none,21.09
75,0b255009,member,high,many,127.91
76,234d0026,nonmember,low,few or none,49.17
77,e1616455,member,high,few or none,223.05
78,9cd76e94,nonmember,low,few or none,28.24
79,5f153317,nonmember,low,few or none,93.21
80,6d091a63,nonmember,low,few or none,5.49
81,cbae2ad4,member,high,few or none,227.49
82,5b843ea3,nonmember,high,many,51.96
83,8b40ed21,nonmember,high,many,56.4
84,1d3d6dc6,member,high,few or none,221.48
85,9ddd05ad,nonmember,low,few or none,19.39
86,5e1fd438,member,low,few or none,214.72
87,3369eec6,nonmember,low,few or none,67.31
88,3ffd69ee,nonmember,low,few or none,38.18
89,6cec36e6,nonmember,low,few or none,43.52
90,7947aed6,member,low,few or none,225.6
91,72e80af0,nonmember,low,few or none,14.36
92,5175dd5a,nonmember,low,few or none,42.23
93,20cfbd0f,member,high,many,114.76
94,59690726,nonmember,high,many,59.97
95,2cd7867a,member,high,many,157.26
96,6baf7a60,nonmember,low,few or none,2.67
97,d471d4cc,member,high,many,85.61
98,bef7a3ce,nonmember,low,few or none,55.89
99,6c64199b,nonmember,low,few or none,30.77
100,231df229,member,low,few or none,231.84
101,891292b4,member,low,few or none,213.36
102,1cbc0948,member,high,few or none,224.94
103,4e739dd2,nonmember,low,few or none,42.61
104,30a8e4be,nonmember,high,many,59.43
105,efc12963,nonmember,low,few or none,7.9
106,62bde4eb,nonmember,low,few or none,49.19
107,917aea41,member,low,few or none,226.22
108,a74b5f6a,member,low,few or none,226.4
109,f2c7f502,nonmember,low,few or none,8.09
110,9b37b784,nonmember,low,few or none,61.41
111,5cc8a53c,nonmember,low,few or none,45.69
112,805fe710,nonmember,low,few or none,51.41
113,66363c61,member,high,many,145.03
114,ed3942cb,member,low,few or none,223.88
115,715f14df,member,high,many,150.35
116,eb5b4dd1,nonmember,low,few or none,17.85
117,92547bec,nonmember,low,few or none,73.4
