,User ID,Guild Membership,Side-quest Engagement,Inventory Rarity,In-game Purchases
0,9141e826,nonmember,low,few or none,34.667930603027344
1,202d69f8,nonmember,low,few or none,43.37565994262695
2,ee5cce57,nonmember,low,few or none,0.6000289916992188
3,c330735e,nonmember,low,few or none,26.276405334472656
4,febacf7e,nonmember,low,few or none,32.321327209472656
5,fe8b3af1,nonmember,low,few or none,47.76685333251953
6,a9623354,member,high,many,65.0380630493164
7,269a4980,nonmember,low,few or none,12.188970565795898
8,0873ca59,nonmember,low,few or none,72.02264404296875
9,500fb43c,nonmember,low,few or none,17.330503463745117
10,a579dc20,nonmember,high,few or none,55.748023986816406
11,8e03f632,nonmember,low,few or none,21.198596954345703
12,f20c9cf1,nonmember,high,many,51.507694244384766
13,58a35253,nonmember,low,few or none,11.685600280761719
14,5fac86d4,nonmember,low,few or none,70.56668090820312
15,8c1db39b,nonmember,high,many,60.70258331298828
16,2377fb69,nonmember,low,many,53.17106628417969
17,7d3d5097,member,high,many,141.27151489257812
18,6a806bad,nonmember,low,few or none,12.168355941772461
19,b7c46cf3,member,low,few or none,225.1787872314453
20,43b5f927,member,low,few or none,218.4276580810547
21,2d1730bc,nonmember,high,few or none,48.26737594604492
22,f4fd348e,member,high,many,168.07882690429688
23,f688fcd6,nonmember,low,few or none,58.12785720825195
24,0785d689,member,high,many,160.43093872070312
25,e22e46f7,nonmember,low,few or none,66.4336929321289
26,d6026f20,nonmember,low,few or none,45.257347106933594
27,7a2668c3,nonmember,low,few or none,53.092342376708984
28,615771a6,nonmember,low,few or none,6.693132400512695
29,eb3ea513,member,high,many,23.28216552734375
30,35474b95,nonmember,low,few or none,23.81999969482422
31,41ea5978,nonmember,low,few or none,40.87007141113281
32,f13d6a70,member,high,many,16.188819885253906
33,190a3941,nonmember,low,few or none,23.62055015563965
34,6d20eb16,member,high,few or none,221.0323028564453
35,d5ee80dc,nonmember,low,few or none,47.88825988769531
36,e747a312,member,high,many,70.96176147460938
37,689a748a,member,high,many,185.01197814941406
38,cc01658c,nonmember,low,few or none,56.13301086425781
39,e7b11e3f,nonmember,low,few or none,12.94491958618164
40,5a07568c,nonmember,low,few or none,42.47646713256836
41,f5fb474a,nonmember,low,few or none,29.907299041748047
42,d48d2a47,nonmember,high,many,50.62640380859375
43,db1ab113,nonmember,high,many,44.971065521240234
44,94333078,member,high,many,113.03046417236328
45,05b5a4ed,member,high,many,177.27499389648438
46,ae708cfc,nonmember,low,many,54.0446662902832
47,93ca1424,member,high,many,107.84407043457031
48,45919f5f,nonmember,low,many,59.361270904541016
49,2d6bff65,nonmember,high,many,45.75558090209961
50,75e60e0d,nonmember,low,few or none,31.71424102783203
51,aee429ea,nonmember,low,few or none,54.19352722167969
52,ee412e49,nonmember,high,many,59.12092590332031
53,ad4befa9,nonmember,low,few or none,33.913475036621094
54,1f41517d,member,low,few or none,218.47740173339844
55,72289160,nonmember,low,many,49.46757507324219
56,932e8eaf,nonmember,low,few or none,63.040008544921875
57,8428d901,nonmember,low,few or none,18.614736557006836
58,c34fa473,member,high,many,81.39480590820312
59,80161cc0,nonmember,low,few or none,44.243247985839844
60,ea7ca0e4,nonmember,low,few or none,58.66322326660156
61,ebe37ddf,member,high,many,39.149940490722656
62,f19ffa78,nonmember,low,few or none,50.00651550292969
63,f678788d,nonmember,low,few or none,17.427881240844727
64,0255da37,member,high,many,156.3282470703125
65,22a590ce,nonmember,high,many,50.51093292236328
66,60e964aa,member,low,few or none,225.57626342773438
67,b6fb6669,nonmember,low,few or none,28.435504913330078
68,6fade62b,nonmember,low,few or none,46.372642517089844
69,e70c5576,nonmember,low,few or none,23.839492797851562
70,313b3830,nonmember,low,few or none,50.706058502197266
71,4106389f,member,high,few or none,221.2244110107422
72,6c0189f4,member,high,many,138.0478057861328
73,2750cf5c,nonmember,low,few or none,34.96813201904297
74,b1b5dcf8,member,high,many,235.92449951171875
75,c522601c,member,low,few or none,218.76702880859375
76,d286a321,nonmember,low,few or none,30.50216293334961
77,43d3f491,nonmember,low,few or none,18.855680465698242
78,17fbbbb0,nonmember,high,many,57.9951286315918
79,fc72b601,member,high,few or none,222.07044982910156
80,18e66dd6,member,high,many,115.63297271728516
81,bcfd39aa,nonmember,low,few or none,50.04115676879883
82,4eb26214,nonmember,low,few or none,32.453155517578125
83,1513f386,nonmember,low,few or none,27.411029815673828
84,af786870,nonmember,high,many,49.69131088256836
85,1c6e3c6a,member,high,many,111.53839874267578
86,9bf00a92,member,high,many,134.2097930908203
87,aa2d4a5f,nonmember,high,few or none,52.20315933227539
88,4f67e5b2,nonmember,low,few or none,78.43275451660156
89,ffb48d4a,nonmember,low,few or none,38.372928619384766
90,d7b79891,nonmember,low,few or none,46.34437942504883
91,fceaf751,member,high,many,179.447021484375
92,7458119a,nonmember,low,few or none,24.452625274658203
93,75dfcc38,nonmember,low,few or none,42.806583404541016
94,210f5a6e,nonmember,low,few or none,89.48085021972656
95,7e5d7abc,nonmember,low,few or none,12.459930419921875
96,39ea800d,member,high,many,190.03041076660156
97,aa334c06,nonmember,low,few or none,13.104703903198242
98,b90c81d1,nonmember,low,many,48.53683090209961
99,9a3d1c55,nonmember,low,many,53.21092987060547
100,bdc03f3c,member,low,few or none,222.86392211914062
101,9e5a35b1,nonmember,low,few or none,26.411117553710938
102,b10e6100,nonmember,low,few or none,45.955413818359375
103,f4b0c34b,member,high,many,88.04367065429688
104,78c5e209,nonmember,low,few or none,86.62655639648438
105,4cd4e567,member,high,many,93.61705017089844
106,5caf8450,nonmember,low,few or none,47.801334381103516
107,7c8f421d,nonmember,low,few or none,0.903564453125
108,1a7b94a8,nonmember,low,many,61.14350891113281
109,090297be,member,high,many,87.4139175415039
