,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
0,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(2,6]","(2,8]","(5,20]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",1.0,3,5,3,Apartment,Dorchester,Boston Street
1,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,5,3,Apartment,Jamaica Plain,Goodrich Road
2,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,4,4,Apartment,Charlestown,Salem Street
3,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","[12,30]","(3.47373,3.70142]","(2400.33,4704.33]","[60,135]","(2,28]",1.0,3,5,4,Apartment,Charlestown,Winthrop Street
4,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","(135,199]","(2,28]",1.0,4,4,3,Apartment,Allston,Easton Street
5,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","[1,2]",1.0,3,5,3,Apartment,Jamaica Plain,Clive Street
6,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","(2,8]","(3,5]","(33,52]","[2.75,3.47373]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,3,4,3,Apartment,South Boston,I Street
7,"(-12.0209,9.92724]","(544583,870941]","(1,2]","(1,2]","(5,20]","(30,33]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",2.5,2,4,3,Condominium,Dorchester,Sawyer Avenue
8,"(-12.0209,9.92724]","(544583,870941]","(2,6]","(2,8]","(5,20]","(30,33]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,2,4,2,Apartment,West Roxbury,Alameda Road
9,"[-38.1201,-12.0209]","(870941,1.14825e+07]","[0,1]","(1,2]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","[1,2]",1.0,2,5,3,Apartment,Charlestown,Green Street
10,"(9.92724,1270.48]","(544583,870941]","(1,2]","(1,2]","(3,5]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","[1,2]",2.0,3,5,5,Condominium,South End,Waltham Street
11,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","(3,5]","(30,33]","[2.75,3.47373]","(4704.33,19715]","[60,135]","[1,2]",1.0,2,4,4,Apartment,Jamaica Plain,Orchardhill Road
12,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","(3,5]","(33,52]","[2.75,3.47373]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,North End,Hanover Street
13,"[-38.1201,-12.0209]","(870941,1.14825e+07]","(1,2]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","[898,2400.33]","(199,5555]","(2,28]",1.0,3,5,5,Condominium,Bay Village,Isabella Street
14,"(9.92724,1270.48]","(544583,870941]","[0,1]","[0,1]","[2,3]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Back Bay,Marlborough Street
15,"(9.92724,1270.48]","(544583,870941]","(2,6]","(2,8]","(5,20]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","(199,5555]","(2,28]",1.5,2,4,4,Apartment,Roxbury,Thornton Street
