transit,proximity_score,access,street,neighbourhood,city,state,zipcode,market,smart_location,country_code,country,ZRENT,cost_property,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_score,amenities,square_feet,price,yearly_price,ROI,weekly_price,monthly_price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_communication,review_scores_location,pets,first_review,apartment_age
"5 min walk to Capitol Metro Rail (train that takes you downtown) and bus stops within a few minutes (the slowest form of transportation in Austin). B-cycle is a city operated bicycle rental company with several ""stations"" on the east side where you can rent bikes to get around. You're only 3 miles from Ladybird Lake Trail and bicycling to many parts of central Austin are easy and beautiful along this trail. Uber, Lyft and taxis are in high demand during ACL & SXSW so plan ahead if possible.",5,"Several local restaurants, small clubs, music venues, convenience store and cafes within walking distance. Just 1.2 miles from downtown & the University of Texas, ~ 2 miles from the Austin Convention Center & ~ 5 miles from Zilker Park/Barton Springs (ACL location).","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,700.00",563989,30.2775,-97.71398,House,Entire home/apt,4,2,2,2,38,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",,225,82125,45.61454213,,,500,100,0,0,0,0,93,10,8,1,17-03-2009,2009
,,,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,879.00",494344,30.27577,-97.71379,House,Private room,2,1,1,2,27,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",Other}",,100,36500,-26.16477595,,,500,75,0,0,0,0,91,9,10,1,19-03-2009,2009
"Bus stop around the block.  Uber, Lyft, Ride, scooters, bikes available.",4,Guests have access to yard and patio.,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,462.00",237819,30.26112,-97.73448,Guesthouse,Entire home/apt,3,1,1,2,29,"{TV,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,95,34675,45.80416199,,,100,,15,33,54,323,97,10,10,1,08-03-2009,2009
"We are approximately 16 miles from downtown Austin.  When not traveling during rush hour, I can get to downtown Austin in about 25 minutes but during rush hour, it can take up to an hour.  My location makes it easier for guests with their own mode of transportation but if needed, approximately 2 miles away is the train station which will get you downtown.  The bus is approximately 1.2 miles from the house but sometimes it takes over an hour and a half for the bus to make its way downtown.",2,Gravel Parking Kitchen,"Austin, TX, United States",SW Williamson Co.,Austin,TX,78729,Austin,"Austin, TX",US,United States,"1,700.00",311646,30.45697,-97.78422,House,Private room,2,1,1,1,22,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Hot water"",Other}",,40,14600,-53.15197371,160,,,,0,0,0,0,98,10,10,1,10-04-2010,2010
"Parking for our place is on the street, roughly 150 feet from car door to apartment door. The bus stops going to and coming from downtown are within a block. Being so close to downtown, lots of guests simply cross the street and wander into town following the Town Lake Trail. More so in these days of Uber and Lyft, our guests are opting to not get a rental car and just get rides as needed around downtown.",4,Private patio with lounge chairs and umbrella.,"Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,"3,450.00",767620,30.24829,-97.73726,Guesthouse,Entire home/apt,2,1,0,1,32,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Lake access""}",550,99,36135,-52.92592689,700,1900,,50,16,18,18,18,99,10,10,1,14-12-2009,2009
"There's a bus route just outside the 'hood plus you can easily walk into downtown, catch a cab, call a ride share, or use a smart car.",3,We will either meet you and show you in or we can arrange to leave the apt open for you.,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"6,371.00",1460183,30.26027,-97.76503,Guesthouse,Entire home/apt,3,1,1,2,46,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Outlet covers"",""Children’s books and toys"",""Babysitter recommendations"",Crib,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,129,47085,-67.75404179,649,1499,200,0,6,22,47,120,99,10,10,1,06-09-2011,2011
,,,"Austin, TX, United States",East Riverside,Austin,TX,78741,Austin,"Austin, TX",US,United States,"2,500.00",652218,30.23616,-97.73682,Guest suite,Entire home/apt,2,1,1,1,13,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",""Free street parking"",Heating,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",""Hot water"",""Host greets you""}",,40,14600,-77.61484657,310,1100,0,85,3,33,63,153,92,10,9,1,19-02-2010,2010
The bus stop is about a mile and a half away.,2,Guest will have access to the pool (summer only) the stage (when prearranged) and a huge yard plus access to the house.,"Austin, TX, United States",,Austin,TX,78748,Austin,"Austin, TX",US,United States,"1,650.00",259288,30.15645,-97.82411,House,Entire home/apt,6,2,3,3,31,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",""Indoor fireplace"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Hot water"",Microwave,Refrigerator,Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,300,109500,322.3103267,,,200,100,29,59,89,364,99,10,9,1,17-03-2014,2014
AUSTIN RIDE HAIL APPS: Uber  Lyft  Fasten: referral code: DA1042 InstaRyde:5 sign up credit with referral code: m1828o Bus Rapid Transit is about a 12 minute walk from the property on South Congress - you can easily get DT and to other areas of Austin.,3,,"Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,990.00",656700,30.24417,-97.73988,House,Entire home/apt,5,1,2,2,60,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter"",""Hot water kettle"",""Ceiling fan"",""Central air conditioning"",Terrace,""Gas oven"",""Breakfast table"",Netflix,""Memory foam mattress"",""Outdoor seating"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",,550,200750,205.6951424,,,0,80,5,8,23,106,98,10,10,1,06-02-2013,2013
"We have private off-street parking on the property for guests with cars.  We are located within a block or two of public transportation that can get you downtown within minutes.  Guests staying a week or more can request complimentary bus passes. There are other options available in Austin such as Lyft, Uber, Car2Go, Zipcar, and standard taxi services. We can provide more information and links for any of these services.",5,"In addition to the house, guests have access to the driveway, carport, and yards.  The patio, grill, pool, and heated spa are also available to guests.","Austin, TX, United States",West Campus,Austin,TX,78705,Austin,"Austin, TX",US,United States,"1,730.00",304111,30.29422,-97.74618,House,Entire home/apt,4,1,2,4,48,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",800,220,80300,164.0483245,1200,2500,300,,25,51,81,356,97,10,10,1,16-02-2016,2016
,,,"Austin, TX, United States",Balcones Civic Association,Austin,TX,78759,Austin,"Austin, TX",US,United States,"1,500.00",1200000,30.38957,-97.76216,Condominium,Entire home/apt,4,2.5,2,2,22,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Suitable for events"",Washer,Dryer,Essentials,Hangers,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Long term stays allowed""}",1900,150,54750,-54.375,1006,2750,700,150,0,0,0,273,98,10,10,0,22-03-2010,2010
"3 miles/4.8 km to downtown, close to South Congress area. 6 miles/9 km to airport. 2 blocks from bus stop on downtown/UT route.",2,"laundry, street parking, gas grill (upon request)","Austin, TX, United States",East Riverside,Austin,TX,78741,Austin,"Austin, TX",US,United States,"2,600.00",649823,30.23614,-97.73225,Guesthouse,Entire home/apt,2,1,1,2,33,"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",500,52,18980,-70.79204645,270,1350,500,,0,0,15,290,98,10,10,0,16-03-2010,2010
"There are numerous options for getting around our great city. Austin is very bike friendly and downtown is very walkable. If wanting to use a rideshare app, we highly recommend using RideAustin whenever possible! Capitol Metro bus is easy to navigate, single rides start at 1.25 (transfers not included), day passes at 2.50, and weekly passes at 11.25.",3,,"Austin, TX, United States",Clarksville,Austin,TX,78703,Austin,"Austin, TX",US,United States,"1,650.00",1259763,30.28027,-97.75596,Guest suite,Entire home/apt,6,1,2,2,34,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Children’s books and toys"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Long term stays allowed""}",,95,34675,-72.47498141,950,3500,0,100,9,17,32,240,98,10,10,1,16-03-2010,2010
Yes. There is a bus stop just two blocks down the street. The driveway has plenty of room for parking two or more cars.,3,"The entire house and free-standing artist studio are yours. The back yard area is especially wonderful for hosting gatherings or just hanging out in the hammock, creating at the picnic table, or evenings spent sitting by the fire. It is my favorite ""room"" of the house. Front yard is gigantic and allows for privacy and space.","Austin, TX, United States",Brentwood,Austin,TX,78757,Austin,"Austin, TX",US,United States,"2,849.00",640325,30.33766,-97.73726,House,Entire home/apt,6,2,3,3,37,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Long term stays allowed""}",920,140,51100,-20.19677508,1200,1850,0,150,0,0,10,285,99,10,9,1,19-04-2010,2010
