,id,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address
0,1281203,94086,2.0,1.5,$198.00,Sunnyvale,37.3839,-122.03813999999998,Condominium,Entire home/apt,t,"842 Lori Ave, Sunnyvale, CA 94086, USA"
1,2153453,94043,2.0,1.5,$220.00,Mountain View,37.396190000000004,-122.06736000000001,Townhouse,Entire home/apt,t,"37 Easy St, Mountain View, CA 94043, USA"
2,2186905,94087,1.0,1.0,$175.00,Sunnyvale,37.35067,-122.01555,Condominium,Entire home/apt,t,"880 E Fremont Ave, Sunnyvale, CA 94087, USA"
3,3667097,95051,3.0,2.5,$200.00,Santa Clara,37.33019,-121.99588999999999,Townhouse,Entire home/apt,t,"552 Lawrence Expy, Santa Clara, CA 95051, USA"
4,4607712,95008,2.0,2.0,$320.00,Campbell,37.2848,-121.93805,Townhouse,Entire home/apt,t,"185 Union Ave, Campbell, CA 95008, USA"
5,5992960,94043,3.0,1.5,$350.00,Mountain View,37.4028,-122.06508000000001,Townhouse,Entire home/apt,f,"525 Lynwood Ave, Mountain View, CA 94043, USA"
6,6592397,95128,1.0,1.0,$160.00,San Jose,37.32291,-121.94606,Condominium,Entire home/apt,t,"105, 2910 Stevens Creek Blvd, San Jose, CA 95128, USA"
7,6922780,94301,2.0,1.0,$155.00,Palo Alto,37.45107,-122.15973999999999,Townhouse,Entire home/apt,t,"328 Byron St, Palo Alto, CA 94301, USA"
8,7009981,95054,3.0,3.0,$339.00,Santa Clara,37.39973,-121.94861000000002,Townhouse,Entire home/apt,t,"4337 Watson Cir, Santa Clara, CA 95054, USA"
9,7308663,94303,3.0,2.5,$335.00,Palo Alto,37.42389,-122.10243999999999,Townhouse,Entire home/apt,t,"Freidenrich Community Park, 3921 Fabian Way, Palo Alto, CA 94303, USA"
10,7327421,94043,3.0,1.5,$240.00,Mountain View,37.40433,-122.09326999999999,Townhouse,Entire home/apt,t,"1966 Hackett Ave, Mountain View, CA 94043, USA"
11,8055890,95051,1.0,1.0,$80.00,Santa Clara,37.349270000000004,-121.99906000000001,Townhouse,Entire home/apt,t,"3764 Adriatic Way, Santa Clara, CA 95051, USA"
12,8522180,95131,3.0,2.5,$269.00,San Jose,37.37557,-121.87527,Townhouse,Entire home/apt,t,"1130 Chen St, San Jose, CA 95131, USA"
13,8593617,94040,2.0,2.5,$210.00,Mountain View,37.40681,-122.10623000000001,Townhouse,Entire home/apt,t,"Caltrain Underpass, Mountain View, CA 94043, USA"
14,9838874,95110,2.0,2.0,$200.00,San Jose,37.33475,-121.89414,Condominium,Entire home/apt,t,"1 N Almaden Ave, San Jose, CA 95113, USA"
15,10089381,94043,2.0,1.5,$189.00,Mountain View,37.39889,-122.06512,Townhouse,Entire home/apt,t,"50 E Middlefield Rd, Mountain View, CA 94043, USA"
16,10450367,94022,1.0,1.0,$139.00,Los Altos,37.37293,-122.11185,Condominium,Entire home/apt,t,"568 Lassen St, Los Altos, CA 94022, USA"
17,10597712,94043,2.0,3.0,$150.00,Mountain View,37.4123,-122.09573999999999,Townhouse,Entire home/apt,t,"2235 Rock St, Mountain View, CA 94043, USA"
18,11490523,95032,2.0,2.0,$112.00,Los Gatos,37.251459999999994,-121.97688000000001,Condominium,Entire home/apt,t,"14960 Karl Ave, Monte Sereno, CA 95030, USA"
19,12501937,95133,2.0,2.5,$250.00,San Jose,37.38066,-121.86438000000001,Townhouse,Entire home/apt,t,"1062 Sedge Way, San Jose, CA 95133, USA"
20,13266374,94301,2.0,2.0,$195.00,Palo Alto,37.451840000000004,-122.15853999999999,Condominium,Entire home/apt,t,"345 Middlefield Rd, Palo Alto, CA 94301, USA"
21,13801206,95125,2.0,2.0,"$2,750.00",San Jose,37.30746,-121.88602,Condominium,Entire home/apt,t,"531 Falcon Pl, San Jose, CA 95125, USA"
22,15357018,94040,1.0,1.0,$80.00,Mountain View,37.40378,-122.10274,Condominium,Entire home/apt,t,"60 Ortega Ave, Mountain View, CA 94040, USA"
23,16049831,94303,2.0,2.0,$275.00,Palo Alto,37.42895,-122.10475,Townhouse,Entire home/apt,t,"3825 Fabian Way, Palo Alto, CA 94303, USA"
24,16331488,95129,3.0,2.5,$350.00,San Jose,37.30924,-122.0306,Townhouse,Entire home/apt,t,"7270 Ventana Pl, San Jose, CA 95129, USA"
25,16395832,95133,2.0,2.5,$195.00,San Jose,37.3752,-121.85887,Townhouse,Entire home/apt,t,"2352 Ferndale Way, San Jose, CA 95133, USA"
26,16741371,94043,2.0,2.0,$233.00,Mountain View,37.4129,-122.09221000000001,Condominium,Entire home/apt,t,"701 Rengstorff Ave, Mountain View, CA 94043, USA"
27,17031236,95129,3.0,3.0,$219.00,San Jose,37.30403,-122.03386,Townhouse,Entire home/apt,t,"1179 S De Anza Blvd, San Jose, CA 95129, USA"
28,17302855,94043,3.0,1.5,$200.00,Mountain View,37.41146,-122.09423999999999,Townhouse,Entire home/apt,f,"580 N Rengstorff Ave, Mountain View, CA 94043, USA"
29,17347441,94040,2.0,1.5,$99.00,Mountain View,37.40481,-122.11417,Townhouse,Entire home/apt,t,"2680 Fayette Dr, Mountain View, CA 94040, USA"
30,17654655,95051,2.0,2.0,$261.00,Santa Clara,37.323609999999995,-121.97131,Condominium,Entire home/apt,t,"3941 Stevens Creek Blvd, Santa Clara, CA 95051, USA"
31,17880302,94040,2.0,1.5,$149.00,Mountain View,37.4043,-122.11401000000001,Townhouse,Entire home/apt,t,"2660 Fayette Dr, Mountain View, CA 94040, USA"
32,18673303,94087,2.0,1.5,$199.00,Sunnyvale,37.35243,-122.02271999999999,Townhouse,Entire home/apt,t,"1274 Rembrandt Dr, Sunnyvale, CA 94087, USA"
33,18997582,95126,2.0,2.0,$125.00,San Jose,37.31984,-121.91103000000001,Condominium,Entire home/apt,t,"50 Saddle Rack St, San Jose, CA 95126, USA"
34,19142350,95126,2.0,2.0,$200.00,San Jose,37.32136,-121.9115,Condominium,Entire home/apt,f,"375 Race St, San Jose, CA 95126, USA"
35,19434735,95054,2.0,1.0,$275.00,Santa Clara,37.394940000000005,-121.94412,Condominium,Entire home/apt,t,"550 Lick Mill Blvd, Santa Clara, CA 95054, USA"
36,19860636,95126,2.0,2.0,$180.00,San Jose,37.32069,-121.91252,Condominium,Entire home/apt,t,"1370 Auzerais Ave, San Jose, CA 95126, USA"
37,20413868,95134,2.0,2.0,$200.00,San Jose,37.40194,-121.92018999999999,Condominium,Entire home/apt,t,"716 Applause Pl, San Jose, CA 95134, USA"
