Beds,Baths,Rent,neighbourhood,latitude,longitude,Type,Zest,ROI,Neigh,BPB,latlng
2,1,109.0,Milpitas,37.425129999999996,-121.91158,Townhouse,617169.0,-0.9685852689858659,Neigh_North,3,-4562.5567300054
1,2,110.0,Sunnyvale,37.3575,-122.01615,Townhouse,999818.0,-0.9804303668242039,Neigh_North,3,-4558.218323625
1,1,150.0,Palo Alto,37.41297,-122.11591000000001,Townhouse,2873266.0,-0.9907140492406908,Neigh_North,2,-4568.7188773527005
2,2,250.0,San Jose,37.4046,-121.92236000000001,Townhouse,1105194.0,-0.959764218477484,Neigh_South,4,-4560.457106856001
1,2,130.0,San Jose,37.321740000000005,-121.90365,Condominium,892581.0,-0.9740936239417177,Neigh_South,3,-4549.656330351
3,2,239.0,San Jose,37.3829,-121.8843,Condominium,1000056.0,-0.9574906433502327,Neigh_South,5,-4556.38859847
3,2,250.0,Sunnyvale,37.366620000000005,-122.02121000000001,Townhouse,3025946.0,-0.985304316625612,Neigh_North,5,-4559.520186010201
3,2,330.0,Santa Clara,37.3978,-121.95357,Townhouse,2064789.0,-0.9715718097550529,Neigh_North,5,-4560.795220145999
2,1,139.0,San Jose,37.32725,-121.91653000000001,Townhouse,1426630.0,-0.9826693680602948,Neigh_South,3,-4550.808794442501
1,1,149.0,Mountain View,37.39672,-122.07279,Condominium,1934358.0,-0.986298744484164,Neigh_North,2,-4565.1219472488
1,1,189.0,San Jose,37.32229,-121.94712,Condominium,1374972.0,-0.9755499978843638,Neigh_South,2,-4551.3457773048
2,2,125.0,Mountain View,37.38993,-122.05906,Townhouse,1451134.0,-0.9846780709693261,Neigh_North,4,-4563.7797092658
2,2,199.0,Milpitas,37.43416,-121.9085,Townhouse,802982.0,-0.9559183118900542,Neigh_North,4,-4563.54229436
2,1,120.0,San Jose,37.319559999999996,-121.98126,Condominium,550000.0,-0.961191263135422,Neigh_South,3,-4552.2869514456
3,2,305.0,Mountain View,37.383379999999995,-122.07619,Townhouse,1610000.0,-0.9663034906364755,Neigh_North,5,-4563.6205997222
1,1,175.0,San Jose,37.32143,-121.94767,Condominium,630886.0,-0.9506601176333017,Neigh_South,2,-4551.2614295681
2,2,499.0,San Jose,37.319959999999995,-121.94828000000001,Condominium,1210000.0,-0.9266456072143014,Neigh_South,4,-4551.1049316687995
3,2,375.0,San Jose,37.3922,-121.86551999999999,Condominium,930000.0,-0.9282768639935555,Neigh_South,5,-4556.819896944
1,1,131.0,Santa Clara,37.39611,-121.9433,Condominium,850000.0,-0.9725865736167368,Neigh_North,2,-4560.205060563
3,2,229.0,San Jose,37.3825,-121.88551000000001,Condominium,1298693.0,-0.9686353869615221,Neigh_South,5,-4556.385077575001
2,2,200.0,San Jose,37.32192,-121.94805,Condominium,1081137.0,-0.9670951272047887,Neigh_South,4,-4551.335366255999
2,1,195.0,Campbell,37.296640000000004,-121.96072,Condominium,922585.0,-0.9624042136250681,Neigh_South,3,-4548.7250679808
3,2,350.0,Santa Clara,37.39428,-121.96726000000001,Townhouse,1472757.0,-0.9577284765554713,Neigh_North,5,-4560.877871272801
3,3,328.0,San Jose,37.38013,-121.8958,Condominium,1207402.0,-0.9516793348420144,Neigh_South,6,-4556.480850454
2,2,189.0,Palo Alto,37.44838,-122.15711999999999,Townhouse,3749185.0,-0.9910332330069227,Neigh_North,4,-4574.586249465599
2,2,100.0,San Jose,37.224790000000006,-121.77678999999999,Condominium,754096.0,-0.9764123696059942,Neigh_South,4,-4533.1154346241
1,1,179.0,San Jose,37.3233,-121.94819,Condominium,1299300.0,-0.9754950092080499,Neigh_South,2,-4551.508879827
2,2,140.0,San Jose,37.40075,-121.92193999999999,Townhouse,214665.0,-0.8839947228405306,Neigh_South,4,-4559.971997455
3,2,180.0,Milpitas,37.43408,-121.90848999999999,Townhouse,802982.0,-0.9601271162824611,Neigh_North,5,-4563.5321673392
2,2,300.0,Santa Clara,37.34199,-121.97925,Condominium,1593976.0,-0.9665226997214545,Neigh_North,4,-4554.9479337075
2,2,148.0,San Jose,37.37457,-121.84976999999999,Condominium,641876.0,-0.9589870008540506,Neigh_South,4,-4554.0827583489
1,1,189.0,San Jose,37.321290000000005,-121.94655,Townhouse,1349510.0,-0.9750886852939655,Neigh_South,2,-4551.202557049501
2,2,240.0,San Jose,37.3449,-121.89133999999999,Condominium,804781.0,-0.9469549970103224,Neigh_South,4,-4552.0199031659995
2,1,118.0,San Jose,37.29585,-121.9238,Condominium,762565.0,-0.9724757122069254,Neigh_South,3,-4547.25175623
3,2,220.0,San Jose,37.275040000000004,-121.84628000000001,Townhouse,967359.0,-0.9595474451520934,Neigh_South,5,-4541.824960851201
2,2,161.0,San Jose,37.38225,-121.86301,Townhouse,1266270.0,-0.9773842752772686,Neigh_South,4,-4555.5135055725
1,1,89.0,Campbell,37.2912,-121.94887,Townhouse,1030014.0,-0.9846305675657395,Neigh_South,2,-4547.619700944
3,3,150.0,San Jose,37.36074,-121.89091,Condominium,945850.0,-0.97179150330983,Neigh_South,6,-4553.934596873401
1,1,145.0,Mountain View,37.39699,-122.10235,Condominium,1164794.0,-0.9778573381147934,Neigh_North,2,-4566.2603619265
2,2,175.0,Santa Clara,37.39665,-121.95868,Condominium,1332475.0,-0.9766390806380632,Neigh_North,4,-4560.846070422001
2,2,187.0,Los Altos,37.372479999999996,-122.11153,Condominium,1709769.0,-0.9805457219341627,Neigh_North,4,-4563.6107126944
3,3,235.0,Santa Clara,37.36653,-121.96863,Townhouse,1126289.0,-0.9628867513892475,Neigh_North,6,-4557.5444719539
1,1,155.0,Palo Alto,37.41137,-122.12392,Condominium,1692492.0,-0.983710189778813,Neigh_North,2,-4568.823156970399
1,1,125.0,Sunnyvale,37.38215,-122.01898,Townhouse,2520606.0,-0.9911790370402999,Neigh_North,2,-4561.331813207
3,2,200.0,San Jose,37.3815,-121.8704,Townhouse,702881.0,-0.9493873422966385,Neigh_South,5,-4555.6983576
3,2,325.0,San Jose,37.381170000000004,-121.89676000000001,Condominium,1345235.0,-0.9570269524497993,Neigh_South,5,-4556.6435080092015
3,2,150.0,San Jose,37.25566,-121.82131000000001,Townhouse,471018.0,-0.9433545924053914,Neigh_South,5,-4538.5333061146
2,2,197.0,San Jose,37.3475,-121.92685,Townhouse,966030.0,-0.9637267421018929,Neigh_South,4,-4553.663030375
3,2,229.0,Mountain View,37.41152,-122.09156999999999,Townhouse,1285691.0,-0.968318201340151,Neigh_North,5,-4567.6312128864
3,2,275.0,Palo Alto,37.42557,-122.10229,Townhouse,1742784.0,-0.9719327359234449,Neigh_North,5,-4569.7478015553
2,1,168.0,Mountain View,37.396609999999995,-122.06311000000001,Townhouse,2166993.0,-0.9862100489545996,Neigh_North,3,-4564.7465200571
2,1,189.0,Sunnyvale,37.367540000000005,-122.02186999999999,Condominium,2495774.0,-0.9865300029934839,Neigh_North,3,-4559.6571080998
2,3,140.0,San Jose,37.3288,-121.9064,Townhouse,1255880.0,-0.9801714552175068,Neigh_South,5,-4550.61962432
3,2,250.0,Campbell,37.28606,-121.95651000000001,Townhouse,1339093.0,-0.9667921911891142,Neigh_South,5,-4547.2777492506
2,1,146.0,Palo Alto,37.45317,-122.16261000000002,Condominium,3710403.0,-0.9930008915243941,Neigh_North,3,-4575.376999973701
2,2,167.0,Mountain View,37.406009999999995,-122.094,Townhouse,1010662.0,-0.9706085179729436,Neigh_North,4,-4567.049384939999
2,2,200.0,San Jose,37.28261,-121.83813,Condominium,539792.0,-0.934095585967935,Neigh_South,4,-4542.4434839193
2,2,75.0,Mountain View,37.37786,-122.06206,Townhouse,1448653.0,-0.9907910981462098,Neigh_North,4,-4562.4185899916
2,2,300.0,Santa Clara,37.40059,-121.95066000000001,Condominium,1411466.0,-0.9621939081856774,Neigh_North,4,-4561.026634889401
1,1,140.0,Mountain View,37.395720000000004,-122.08945,Condominium,4649349.0,-0.9946439226606912,Neigh_North,2,-4565.622887154001
2,1,306.0,Mountain View,37.40497,-122.09446000000001,Condominium,1324044.0,-0.9588916580925025,Neigh_North,3,-4566.9396134662
2,2,350.0,Palo Alto,37.45009,-122.16115,Condominium,1221755.0,-0.9490440537967156,Neigh_North,4,-4574.946062003501
2,2,180.0,San Jose,37.29841,-121.91338999999999,Condominium,1524389.0,-0.9789966944701931,Neigh_South,4,-4547.1756047099
2,1,150.0,Mountain View,37.3961,-122.06168000000001,Townhouse,1876059.0,-0.9857781623102486,Neigh_North,3,-4564.630791448
2,2,168.0,San Jose,37.302009999999996,-121.84085,Condominium,617608.0,-0.951615381624388,Neigh_South,4,-4544.9086051085
3,3,300.0,Palo Alto,37.41377,-122.15428999999999,Townhouse,3394338.0,-0.984279110333504,Neigh_North,6,-4570.252510573299
1,2,60.0,San Jose,37.39257,-121.86429,Townhouse,1134008.0,-0.9905887765890903,Neigh_South,3,-4556.8189943253
2,1,179.0,Sunnyvale,37.36352,-122.02143000000001,Condominium,2104363.0,-0.9848698468201632,Neigh_North,3,-4559.150140233601
2,2,145.0,Santa Clara,37.32942,-121.99573999999998,Townhouse,1832188.0,-0.9859230386249024,Neigh_North,4,-4554.030216670799
2,2,164.0,Milpitas,37.41449,-121.88908,Townhouse,1172791.0,-0.9751266560908627,Neigh_North,4,-4560.4177647692
2,2,174.0,Palo Alto,37.42812,-122.14171999999999,Condominium,2692264.0,-0.9885041111683323,Neigh_North,4,-4571.5349531664
1,2,275.0,San Jose,37.34218,-121.89232,Condominium,1335328.0,-0.9633684167811991,Neigh_South,3,-4551.7249540575995
3,2,224.0,San Jose,37.375840000000004,-121.8518,Townhouse,636820.0,-0.937433440353161,Neigh_South,5,-4554.313380512001
3,2,259.0,Milpitas,37.4143,-121.88882,Condominium,1018215.0,-0.9547549341547125,Neigh_North,5,-4560.384878125999
