,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address,zestimate
0,95110,4,2,$350.00,San Jose,37.32066,-121.88505,Condominium,Entire home/apt,t,"869 Vine St, San Jose, CA 95110, USA","870,924"
1,94087,2,1,$110.00,Sunnyvale,37.35179,-122.01178,Condominium,Entire home/apt,t,"948 E El Camino Real, Sunnyvale, CA 94087, USA",
2,95014,1,1,$199.00,Cupertino,37.32311,-122.02821,Condominium,Entire home/apt,t,"20269 Stevens Creek Blvd, Cupertino, CA 95014, USA",
3,95117,1,1,$158.00,San Jose,37.31341,-121.94999,Condominium,Entire home/apt,t,"795 S Winchester Blvd, San Jose, CA 95128, USA",
4,95035,2,1,$109.00,Milpitas,37.42513,-121.91158,Townhouse,Entire home/apt,t,"359 Junipero Dr, Milpitas, CA 95035, USA","617,169"
5,94086,1,1.5,$110.00,Sunnyvale,37.3575,-122.01615,Townhouse,Entire home/apt,t,"950 Linden Ave, Sunnyvale, CA 94086, USA","999,818"
6,94306,1,1,$150.00,Palo Alto,37.41297,-122.11591,Townhouse,Entire home/apt,t,"3941 Alma St, Palo Alto, CA 94306, USA","2,873,266"
7,95134,2,2.5,$250.00,San Jose,37.4046,-121.92236,Townhouse,Entire home/apt,t,"421 Camille Cir, San Jose, CA 95134, USA","1,105,194"
8,94086,3,2,$125.00,Sunnyvale,37.3571,-122.00255,Townhouse,Entire home/apt,t,"Unnamed Road, Sunnyvale, CA 94086, USA",
9,95128,2,2.5,$395.00,San Jose,37.32267,-121.94907,Condominium,Entire home/apt,t,"3080 Stevens Creek Blvd #1000, San Jose, CA 95128, USA",
10,94043,1,1,$150.00,Mountain View,37.3979,-122.07192,Condominium,Entire home/apt,t,"21 - 32, Cypress Point Dr, Mountain View, CA 94043, USA",
11,95112,2,2.5,$198.00,San Jose,37.35967,-121.8911,Townhouse,Entire home/apt,f,"917 Oakland Rd, San Jose, CA 95112, USA",
12,95126,1,1.5,$130.00,San Jose,37.32174,-121.90365,Condominium,Entire home/apt,t,"859 Gaspar Vis, San Jose, CA 95126, USA","892,581"
13,95116,2,2.5,$200.00,San Jose,37.34583,-121.86655,Townhouse,Entire home/apt,t,"70 S 24th St, San Jose, CA 95116, USA",
14,95131,3,2,$239.00,San Jose,37.3829,-121.8843,Condominium,Entire home/apt,t,"1484 Leaftree Cir, San Jose, CA 95131, USA","1,000,056"
15,94086,3,2.5,$250.00,Sunnyvale,37.36662,-122.02121,Townhouse,Entire home/apt,f,"610 Grand Fir Ave, Sunnyvale, CA 94086, USA","3,025,946"
16,95054,3,2.5,$330.00,Santa Clara,37.3978,-121.95357,Townhouse,Entire home/apt,t,"1137 Doyle Cir, Santa Clara, CA 95054, USA","2,064,789"
17,94024,1,1,$250.00,Los Altos,37.37455,-122.10747,Condominium,Entire home/apt,f,"460 S El Monte Ave, Los Altos, CA 94022, USA",
18,95126,2,1,$139.00,San Jose,37.32725,-121.91653,Townhouse,Entire home/apt,f,"1253 Park Ave, San Jose, CA 95126, USA","1,426,630"
19,95014,4,2,$369.00,Cupertino,37.31945,-122.03298,Condominium,Entire home/apt,t,"10235 S De Anza Blvd, Cupertino, CA 95014, USA",
20,94043,1,1,$149.00,Mountain View,37.39672,-122.07279,Condominium,Entire home/apt,t,"133 - 144, Mountain View, CA 94043, USA","1,934,358"
