,id,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address,zestimate,,
104,32191764,,1,1,$130.00,Sunnyvale,37.35244,-122.00813,Condominium,Entire home/apt,f,"999 E El Camino Real, Sunnyvale, CA 94087, USA","434,000","1 beds 1 bath 999 E El Camino Real, Sunnyvale, CA 94087, USA zillow","1 beds 1 bath 999 E El Camino Real, Sunnyvale, CA 94087, USA zillow"
73,28834302,,1,1,$139.00,San Jose,37.39999,-121.88438,Condominium,Entire home/apt,f,"1848 Tradan Dr, San Jose, CA 95132, USA","$485,174","1 beds 1 bath 1848 Tradan Dr, San Jose, CA 95132, USA zillow","1 beds 1 bath 1848 Tradan Dr, San Jose, CA 95132, USA zillow"
124,33498783,95128,1,2,$148.00,Unincorporated Areas,37.31114,-121.93858,Condominium,Entire home/apt,f,"1154 Yarwood Ct, San Jose, CA 95128, USA","505,220","1 beds 2 bath 1154 Yarwood Ct, San Jose, CA 95128, USA zillow","1 beds 2 bath 1154 Yarwood Ct, San Jose, CA 95128, USA zillow"
93,30955198,95035,1,1,$106.00,Milpitas,37.41534,-121.90391,Condominium,Entire home/apt,f,"Great Mall & Abel, Milpitas, CA 95035, USA","516,264","1 beds 1 bath Great Mall & Abel, Milpitas, CA 95035, USA zillow","1 beds 1 bath Great Mall & Abel, Milpitas, CA 95035, USA zillow"
110,32598188,95110,2,1,$119.00,San Jose,37.31118,-121.87992,Condominium,Entire home/apt,f,"328 Shadow Run Dr, San Jose, CA 95110, USA","567,000","2 beds 1 bath 328 Shadow Run Dr, San Jose, CA 95110, USA zillow","2 beds 1 bath 328 Shadow Run Dr, San Jose, CA 95110, USA zillow"
145,36477900,95111,3,2,$169.00,San Jose,37.28714,-121.84224,Townhouse,Entire home/apt,f,"3173 Kenland Dr, San Jose, CA 95111, USA","594,907","3 beds 2 bath 3173 Kenland Dr, San Jose, CA 95111, USA zillow","3 beds 2 bath 3173 Kenland Dr, San Jose, CA 95111, USA zillow"
86,30090887,95035,3,3,$184.00,Milpitas,37.408,-121.90024,Condominium,Entire home/apt,f,"1628 Lee Way, Milpitas, CA 95035, USA","$609,886","3 beds 3 bath 1628 Lee Way, Milpitas, CA 95035, USA zillow","3 beds 3 bath 1628 Lee Way, Milpitas, CA 95035, USA zillow"
47,22031678,95035,2,2,$120.00,Milpitas,37.4237,-121.91208,Townhouse,Entire home/apt,t,"383 Rio Verde Pl, Milpitas, CA 95035, USA","$619,152","2 beds 2 bath 383 Rio Verde Pl, Milpitas, CA 95035, USA zillow","2 beds 2 bath 383 Rio Verde Pl, Milpitas, CA 95035, USA zillow"
60,24796957,95112,1,1,$149.00,San Jose,37.34106,-121.89367,Condominium,Entire home/apt,t,"1 E Julian St, San Jose, CA 95112, USA","$652,924","1 beds 1 bath 1 E Julian St, San Jose, CA 95112, USA zillow","1 beds 1 bath 1 E Julian St, San Jose, CA 95112, USA zillow"
2,2186905,94087,1,1,$175.00,Sunnyvale,37.35067,-122.01555,Condominium,Entire home/apt,t,"880 E Fremont Ave, Sunnyvale, CA 94087, USA","$660,429","1 beds 1 bath 880 E Fremont Ave, Sunnyvale, CA 94087, USA zillow","1 beds 1 bath 880 E Fremont Ave, Sunnyvale, CA 94087, USA zillow"
