ID,player_name,origin_league,origin_club_tier,age,transfer_price,year,arrival_league,arrival_club_tier,grouping_positions,overall_app,overall_gls,height,nationality
5427,Derek Boateng,1 Bundesliga,Tier_3,U30,Below1M,2009,Primera Division,Tier_3,CDM,287,31,1.8288,Ghana
4285,Peer Kluge,1 Bundesliga,Tier_4,U30,10Mto1M,2009,1 Bundesliga,Tier_2,CDM,,,1.79,Germany 
5453,Artur Wichniarek,Other,Tier_4,A30,Below1M,2009,1 Bundesliga,Tier_3,CF,,,1.83,Poland
4865,Robert Tesche,Other,Tier_4,U25,Below1M,2009,1 Bundesliga,Tier_2,CM,141,13,1.82,
1361,Demy de Zeeuw,Eredivisie,Tier_3,U30,10Mto1M,2009,Eredivisie,Tier_2,CM,243,30,1.74,Netherlands
1834,Demy de Zeeuw,Eredivisie,Tier_2,U30,10Mto1M,2011,Premier Liga,Tier_2,CM,265,32,1.74,Netherlands
3139,Ari,Eredivisie,Tier_3,U25,10Mto1M,2009,Premier Liga,Tier_2,CF,,,,
6019,Ari,Premier Liga,Tier_2,U30,Below1M,2013,Premier Liga,Tier_2,CF,,,,
5668,Pirmin Schwegler,1 Bundesliga,Tier_1,U25,Below1M,2009,1 Bundesliga,Tier_2,CDM,246,10,1.79,Switzerland
4091,Pirmin Schwegler,1 Bundesliga,Tier_2,U30,10Mto1M,2014,1 Bundesliga,Tier_2,CDM,305,11,1.79,Switzerland
5384,Tim Borowski,1 Bundesliga,Tier_1,U30,Below1M,2009,1 Bundesliga,Tier_2,CM,294,44,1.94,Germany
4867,Alexander Baumjohann,1 Bundesliga,Tier_1,U25,Below1M,2009,1 Bundesliga,Tier_2,CAM,74,10,1.78,Germany
1046,Lukas Podolski,1 Bundesliga,Tier_1,U25,10Mto1M,2009,1 Bundesliga,Tier_3,CF,244,94,1.8,Germany
649,Lukas Podolski,1 Bundesliga,Tier_3,U30,40Mto10M,2012,Premier League,Tier_1,CF,304,113,1.8,Germany
2412,Mats Hummels,1 Bundesliga,Tier_1,U21,10Mto1M,2009,1 Bundesliga,Tier_1,CB,293,25,1.92,Germany
141,Mats Hummels,1 Bundesliga,Tier_1,U30,40Mto10M,2016,1 Bundesliga,Tier_1,CB,367,28,1.92,Germany
186,Mats Hummels,1 Bundesliga,Tier_1,U30,40Mto10M,2019,1 Bundesliga,Tier_1,CB,390,29,1.92,Germany
1645,Lúcio,1 Bundesliga,Tier_1,A30,10Mto1M,2009,Serie A,Tier_2,CB,382,30,1.88,Brazil
3777,Adrián Ramos,Other,Tier_4,U25,10Mto1M,2009,1 Bundesliga,Tier_3,CF,295,105,1.85,Colombia
1148,Adrián Ramos,1 Bundesliga,Tier_3,U30,10Mto1M,2014,1 Bundesliga,Tier_1,CF,347,118,1.85,Colombia
2666,Eren Derdiyok,Other,Tier_4,U21,10Mto1M,2009,1 Bundesliga,Tier_1,CF,171,52,1.91,Switzerland
1948,Eren Derdiyok,1 Bundesliga,Tier_1,U25,10Mto1M,2012,1 Bundesliga,Tier_2,CF,190,53,1.91,Switzerland
5851,Blazej Augustyn,Other,Tier_4,U21,Below1M,2009,Serie A,Tier_3,CB,27,0,1.91,Poland
485,Michel Bastos,Ligue 1,Tier_2,U25,40Mto10M,2009,Ligue 1,Tier_1,LW,,,1.79,Brazil
1559,Karim Ziani,Ligue 1,Tier_1,U30,10Mto1M,2009,1 Bundesliga,Tier_1,CAM,224,21,1.69,Algeria
3118,Ronald Zubar,Ligue 1,Tier_1,U25,10Mto1M,2009,Premier League,Tier_2,CB,229,7,1.8796,Guadeloupe
1913,Lorik Cana,Ligue 1,Tier_1,U25,10Mto1M,2009,Premier League,Tier_2,CB,261,10,1.82,Albania
6425,Lorik Cana,Serie A,Tier_2,A30,Below1M,2015,Ligue 1,Tier_3,CB,388,15,1.82,Albania
2524,Gaël Givet,Ligue 1,Tier_1,U30,10Mto1M,2009,Premier League,Tier_3,CB,265,9,1.81,France
6298,Daniel Schwaab,1 Bundesliga,Tier_3,U21,Below1M,2009,1 Bundesliga,Tier_1,CB,187,6,1.86,Germany
5917,Rasmus Bengtsson,Other,Tier_4,U25,Below1M,2009,1 Bundesliga,Tier_3,CB,79,10,1.85,Sweden
5204,Cédric Makiadi,1 Bundesliga,Tier_1,U25,Below1M,2009,1 Bundesliga,Tier_3,CM,246,40,1.77,DR Congo
3001,Cédric Makiadi,1 Bundesliga,Tier_3,U30,10Mto1M,2013,1 Bundesliga,Tier_2,CM,294,41,1.77,DR Congo
4005,Cristian Zaccardo,1 Bundesliga,Tier_1,U30,10Mto1M,2009,Serie A,Tier_2,CB,382,21,1.84,Italy
5747,Ricardo Costa,1 Bundesliga,Tier_1,U30,Below1M,2009,Ligue 1,Tier_2,CB,,,1.83,Portugal
3665,Mike Williamson,Premier League,Tier_2,U25,10Mto1M,2009,Premier League,Tier_4,CB,181,13,1.9304,
3914,Tommy Smith,Premier League,Tier_2,U30,10Mto1M,2009,Premier League,Tier_4,CF,,,1.778,England
253,Diego,1 Bundesliga,Tier_2,U25,40Mto10M,2009,Serie A,Tier_1,CAM,235,70,1.73,Brazil
607,Diego,Serie A,Tier_1,U25,40Mto10M,2010,1 Bundesliga,Tier_1,CAM,311,89,1.73,Brazil
5260,Diego,Other,Tier_4,U25,Below1M,2012,Ligue 1,Tier_3,LW,,,1.73,Brazil
4477,Diego,1 Bundesliga,Tier_1,U30,10Mto1M,2013,Primera Division,Tier_1,CAM,,,1.73,Brazil
2074,Boubacar Sanogo,1 Bundesliga,Tier_2,U30,10Mto1M,2009,Ligue 1,Tier_2,CF,264,121,1.88,Ivory Coast
3138,Luis Aguiar,Liga Nos,Tier_3,U25,10Mto1M,2009,Premier Liga,Tier_2,CM,165,31,1.82,Uruguay
3048,João Pereira,Liga Nos,Tier_3,U25,10Mto1M,2009,Liga Nos,Tier_2,RB,,,1.72,Portugal
2717,João Pereira,Liga Nos,Tier_2,U30,10Mto1M,2012,Primera Division,Tier_1,RB,287,9,1.72,Portugal
5985,César Peixoto,Liga Nos,Tier_3,U30,Below1M,2009,Liga Nos,Tier_1,CM,169,22,1.82,Portugal
3046,Orlando Sá,Liga Nos,Tier_3,U21,10Mto1M,2009,Liga Nos,Tier_1,CF,39,8,1.88,Portugal
383,Yuri Zhirkov,Premier Liga,Tier_2,U25,40Mto10M,2009,Premier League,Tier_1,LW,242,41,1.8,Russia
986,Yuri Zhirkov,Premier Liga,Tier_2,U30,10Mto1M,2013,Premier Liga,Tier_2,LW,342,48,1.8,Russia
5534,Yuri Zhirkov,Premier Liga,Tier_2,A30,Below1M,2015,Premier Liga,Tier_1,LW,,,1.8,Russia
3511,Alexandru Epureanu,Other,Tier_4,U25,10Mto1M,2009,Premier Liga,Tier_2,CB,,,1.89,Moldova
4445,Aleksey Rebko,Other,Tier_4,U25,10Mto1M,2009,Premier Liga,Tier_2,CM,,,1.78,Russia
2329,Aleksandr Samedov,Other,Tier_4,U25,10Mto1M,2009,Premier Liga,Tier_2,RW,,,1.78,Russia
1408,Aleksandr Samedov,Premier Liga,Tier_2,U30,10Mto1M,2012,Premier Liga,Tier_2,RW,337,51,1.78,Russia
2834,Aleksandr Samedov,Other,Tier_4,A30,10Mto1M,2016,Premier Liga,Tier_2,RW,,,1.78,Russia
2421,Edgaras Cesnauskis,Other,Tier_4,U25,10Mto1M,2009,Premier Liga,Tier_2,LW,,,1.82,Lithuania
5025,Yuri Zhevnov,Other,Tier_4,U30,Below1M,2009,Premier Liga,Tier_1,GK,,,1.8,Belarus
4446,Héctor Bracamonte,Other,Tier_4,A30,10Mto1M,2009,Premier Liga,Tier_3,CF,327,82,1.9,
5796,Akès da Costa Goore,Other,Tier_4,U25,Below1M,2009,Premier Liga,Tier_4,LB,,,1.74,Côte d'Ivoire
3202,Maxi López,Other,Tier_4,U25,10Mto1M,2009,Serie A,Tier_3,CF,165,42,1.88,Argentina
4541,Maxi López,Serie A,Tier_3,U30,10Mto1M,2014,Serie A,Tier_3,CF,288,77,1.88,Argentina
2601,Pablo Barrientos,Other,Tier_4,U25,10Mto1M,2009,Serie A,Tier_3,RW,221,35,1.76,Argentina
