,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age,transfer_price,potential_fifa,overall_fifa,new_height,appearances,goals,N
0,Premier League,Before2016,Ligue 1,D,Tier_2,Tier_1,Under30,10Mto5M,85above,75to84,6to6.5,150to300,below20,EU
14,1 Bundesliga,Before2016,Ligue 1,M,Tier_1,Tier_1,Under30,10Mto5M,75to84,75to84,5.5to6,150to300,20to50,AF
22,Serie A,Before2016,Serie A,F,Tier_2,Tier_3,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
23,Serie A,Before2016,Serie A,F,Tier_2,Tier_1,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
28,Serie A,Before2016,Serie A,M,Tier_2,Tier_2,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
31,Other,Before2016,Primera Division,F,Tier_1,Tier_3,Under30,10Mto5M,75to84,65to74,5.5to6,50to150,below20,AF
34,Primera Division,After2016,Ligue 1,M,Tier_2,Tier_3,Under30,10Mto5M,75to84,75to84,5.5to6,50to150,20to50,AF
36,Premier League,After2016,Other,F,Tier_1,Tier_2,Under30,40Mto10M,75to84,75to84,6to6.5,150to300,50to100,AF
44,1 Bundesliga,After2016,Ligue 1,D,Tier_2,Tier_2,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,AF
45,1 Bundesliga,After2016,Premier League,M,Tier_2,Tier_1,Under23,40Mto10M,85above,65to74,6to6.5,below50,below20,AF
46,Serie A,After2016,Ligue 1,F,Tier_1,Tier_2,Under23,10Mto5M,75to84,65to74,5.5to6,50to150,below20,AF
47,Other,After2016,Other,M,Tier_2,Tier_4,Under30,10Mto5M,75to84,65to74,5.5to6,50to150,20to50,AF
48,Premier League,After2016,Premier League,F,Tier_1,Tier_1,Under30,80Mto40M,75to84,75to84,5.5to6,300above,50to100,AF
49,Premier League,After2016,Ligue 1,F,Tier_1,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,150to300,20to50,AF
51,Serie A,After2016,Serie A,M,Tier_1,Tier_3,Under23,40Mto10M,75to84,65to74,5.5to6,50to150,below20,AF
65,Premier League,Before2016,Premier League,F,Tier_1,Tier_1,Under30,40Mto10M,85above,65to74,5.5to6,150to300,50to100,SA
66,Serie A,Before2016,Premier League,F,Tier_1,Tier_1,Under30,10Mto5M,85above,85above,5.5to6,300above,100above,SA
69,Serie A,Before2016,Serie A,D,Tier_1,Tier_2,Under30,10Mto5M,75to84,65to74,6to6.5,150to300,below20,SA
70,Serie A,Before2016,Serie A,F,Tier_2,Tier_1,Under30,40Mto10M,75to84,65to74,6to6.5,300above,100above,SA
