,ID,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,potential_fifa,overall_fifa,new_height,appearances,goals,N
0,1913,Premier League,Before2016,Ligue 1,D,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,85above,75to84,6to6.5,150to300,below20,EU
14,1559,1 Bundesliga,Before2016,Ligue 1,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,75to84,75to84,5.5to6,150to300,20to50,AF
22,1923,Serie A,Before2016,Serie A,F,Tier_2,Tier_3,U21,Under23,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
23,1924,Serie A,Before2016,Serie A,F,Tier_2,Tier_1,U25,Under23,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
28,1532,Serie A,Before2016,Serie A,M,Tier_2,Tier_2,U21,Under23,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,AF
31,1705,Other,Before2016,Primera Division,F,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,below20,AF
34,1638,Primera Division,After2016,Ligue 1,M,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,75to84,75to84,5.5to6,50to150,20to50,AF
36,188,Premier League,After2016,Other,F,Tier_1,Tier_2,U30,Under30,40Mto10M,60Mto20M,75to84,75to84,6to6.5,150to300,50to100,AF
44,1360,1 Bundesliga,After2016,Ligue 1,D,Tier_2,Tier_2,U25,Under30,10Mto5M,20Mto5M,75to84,75to84,6to6.5,150to300,below20,AF
45,457,1 Bundesliga,After2016,Premier League,M,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,85above,65to74,6to6.5,below50,below20,AF
46,1132,Serie A,After2016,Ligue 1,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,below20,AF
47,1414,Other,After2016,Other,M,Tier_2,Tier_4,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,20to50,AF
48,29,Premier League,After2016,Premier League,F,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,75to84,75to84,5.5to6,300above,50to100,AF
49,727,Premier League,After2016,Ligue 1,F,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,75to84,75to84,6to6.5,150to300,20to50,AF
51,598,Serie A,After2016,Serie A,M,Tier_1,Tier_3,U21,Under23,40Mto10M,20Mto5M,75to84,65to74,5.5to6,50to150,below20,AF
65,227,Premier League,Before2016,Premier League,F,Tier_1,Tier_1,U25,Under30,40Mto10M,60Mto20M,85above,65to74,5.5to6,150to300,50to100,SA
66,1248,Serie A,Before2016,Premier League,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,85above,85above,5.5to6,300above,100above,SA
69,1647,Serie A,Before2016,Serie A,D,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,150to300,below20,SA
70,300,Serie A,Before2016,Serie A,F,Tier_2,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,65to74,6to6.5,300above,100above,SA
71,1752,Ligue 1,Before2016,Other,F,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,75to84,65to74,5.5to6,150to300,50to100,SA
74,459,Ligue 1,Before2016,Other,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,75to84,65to74,6to6.5,300above,50to100,SA
75,315,Ligue 1,Before2016,Other,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,85above,75to84,5.5to6,150to300,50to100,SA
79,1036,Serie A,Before2016,Serie A,F,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,75to84,75to84,5.5to6,300above,100above,SA
81,1646,Serie A,Before2016,Other,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,75to84,65to74,6to6.5,below50,below20,SA
82,76,Ligue 1,Before2016,Serie A,M,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,85above,75to84,6to6.5,50to150,20to50,SA
83,308,Serie A,After2016,Ligue 1,M,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,75to84,6to6.5,150to300,50to100,SA
85,1420,Primera Division,Before2016,Other,F,Tier_1,Tier_4,U21,Under23,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,20to50,SA
86,965,Other,Before2016,Primera Division,F,Tier_1,Tier_1,U25,Under23,10Mto5M,20Mto5M,85above,65to74,5.5to6,50to150,below20,SA
88,397,Serie A,Before2016,Other,F,Tier_2,Tier_4,U25,Under23,40Mto10M,20Mto5M,75to84,65to74,5.5to6,50to150,20to50,SA
95,1534,Serie A,After2016,Other,M,Tier_1,Tier_4,A30,Above30,10Mto5M,20Mto5M,75to84,75to84,6to6.5,300above,20to50,SA
96,429,Primera Division,Before2016,Premier League,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,85above,85above,5.5to6,150to300,below20,SA
97,166,Primera Division,Before2016,Other,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,85above,65to74,6to6.5,50to150,below20,SA
98,23,Premier League,Before2016,Primera Division,F,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,85above,85above,6to6.5,150to300,20to50,SA
99,40,Ligue 1,Before2016,Premier League,F,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,85above,85above,6to6.5,150to300,20to50,SA
103,417,Premier League,Before2016,Other,D,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
107,1729,Primera Division,Before2016,Ligue 1,M,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,20to50,SA
108,1726,Other,Before2016,Ligue 1,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,20to50,SA
114,1769,1 Bundesliga,Before2016,1 Bundesliga,F,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,150to300,20to50,SA
115,1443,Serie A,Before2016,Serie A,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,20to50,SA
116,1102,Other,Before2016,Primera Division,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,75to84,65to74,6to6.5,50to150,below20,SA
124,1324,Other,Before2016,Other,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,75to84,65to74,5.5to6,50to150,below20,SA
125,296,Primera Division,After2016,Other,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,75to84,65to74,5.5to6,150to300,20to50,SA
127,901,Primera Division,Before2016,Other,D,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,75to84,75to84,6to6.5,50to150,below20,SA
128,71,Premier League,Before2016,Ligue 1,D,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,85above,75to84,6to6.5,150to300,below20,SA
129,1043,Premier League,Before2016,Premier League,F,Tier_1,Tier_2,U30,Under30,10Mto5M,20Mto5M,65to74,65to74,6to6.5,150to300,100above,SA
