player_name,height,nationality
Neymar,1.75,Brazil
Philippe Coutinho,1.72,Brazil
Kylian Mbappé,1.78,France
João Félix,1.81,Portugal
Ousmane Dembélé,1.78,France
Antoine Griezmann,1.76,France
Cristiano Ronaldo,1.87,Portugal
Paul Pogba,1.91,France
Gareth Bale,1.8542,Wales
Eden Hazard,1.75,Belgium
Gonzalo Higuaín,1.86,Argentina
Harry Maguire,1.94,England
Matthijs de Ligt,1.89,Netherlands
Romelu Lukaku,1.9,Belgium
Virgil van Dijk,1.93,Netherlands
Luis Suárez,1.75,Spain
Lucas Hernández,1.82,France
Kepa,1.86,Spain
Nicolas Pépé,1.83,Ivory Coast
Kevin De Bruyne,1.81,Belgium
Ángel Di María,1.8,Argentina
James Rodríguez,1.8,Colombia
Frenkie de Jong,1.8,Netherlands
Rodri,1.91,Spain
Thomas Lemar,1.72,France
Zlatan Ibrahimovic,1.95,Sweden
Riyad Mahrez,1.79,Algeria
Kaká,1.86,Brazil
Álvaro Morata,1.9,Spain
Diego Costa,1.85,Spain
Aymeric Laporte,1.91,France
João Cancelo,1.82,Portugal
Edinson Cavani,1.84,Uruguay
Christian Pulisic,1.7018,United States
Pierre-Emerick Aubameyang,1.87,France
Raheem Sterling,1.7,England
Alisson,1.91,Brazil
Anthony Martial,1.81,France
Naby Keïta,1.72,Guinea
Tanguy Ndombélé,1.81,France
Luka Jovic,1.82,Serbia
Fred,1.86,Brazil
Fernando Torres,1.86,Spain
Benjamin Mendy,1.85,France
Jorginho,1.75,Brazil
John Stones,1.88,England
Aaron Wan-Bissaka,1.83,England
Alexandre Lacazette,1.75,France
Kyle Walker,1.78,England
Leroy Sané,1.83,Germany
Bernardo Silva,1.73,Portugal
Éder Militão,1.86,Brazil
David Luiz,1.89,Brazil
Gylfi Sigurdsson,1.86,Iceland
Ferland Mendy,1.8,France
Mesut Özil,1.83,Germany
Christian Benteke,1.9,Belgium
Granit Xhaka,1.83,Switzerland
Fabinho,1.88,Brazil
Mateo Kovacic,1.78,Croatia
Youri Tielemans,1.76,Belgium
Vinícius Júnior,1.76,Brazil
Rodrygo,1.74,Brazil
Juan Mata,1.7,Spain
Nemanja Matic,1.94,Serbia
Nicolás Otamendi,1.83,Argentina
Joelinton,1.86,Brazil
Julian Draxler,1.85,Germany
Falcao,1.77,Colombia
Alexis Sánchez,1.69,Chile
Javier Pastore,1.87,Argentina
Thiago Silva,1.83,Brazil
Henrikh Mkhitaryan,1.77,Armenia
Mohamed Salah,1.75,Egypt
Leonardo Bonucci,1.9,Italy
Corentin Tolisso,1.8,France
Sadio Mané,1.75,Senegal
Andy Carroll,1.93,England
Roberto Firmino,1.81,Brazil
Shkodran Mustafi,1.84,Germany
Malcom,1.72,Brazil
Javi Martínez,1.92,Basque Country
Lucas Moura,1.72,Brazil
Leandro Paredes,1.8,Argentina
Wissam Ben Yedder,1.7,France
Sergio Agüero,1.73,Argentina
Fernandinho,1.76,Brazil
Tiemoué Bakayoko,1.89,France
Davinson Sánchez,1.87,Colombia
Ederson,1.88,Brazil
Sébastien Haller,1.9,France
Axel Witsel,1.86,Belgium
Hulk,1.8,Brazil
David Villa,1.75,Spain
Paulinho,1.81,Brazil
Gonçalo Guedes,1.79,Portugal
Paulo Dybala,1.77,Argentina
João Mário,1.73,Portugal
Federico Bernardeschi,1.85,Italy
Douglas Costa,1.72,Brazil
Richarlison,1.79,Brazil
Michy Batshuayi,1.85,Belgium
Eric Bailly,1.87,Ivory Coast
Alex Oxlade-Chamberlain,1.8,England
Felipe Anderson,1.75,Brazil
Raúl Jiménez,1.9,Mexico
André Silva,1.85,Portugal
Radja Nainggolan,1.76,Belgium
Hirving Lozano,1.76,Mexico
Danny Drinkwater,1.77,England
Arturo Vidal,1.8,Chile
Luke Shaw,1.85,England
Jackson Martínez,1.85,Colombia
Mario Götze,1.76,Germany
Thilo Kehrer,1.85,Germany
Edin Dzeko,1.93,Bosnia and Herzegovina
André Gomes,1.88,Portugal
Danilo,1.84,Brazil
Ander Herrera,1.82,Spain
Vitolo,1.85,Spain
Geoffrey Kondogbia,1.88,Central African Republic
Konstantinos Manolas,1.89,Greece
Clément Lenglet,1.86,France
N'Golo Kanté,1.68,France
Nélson Semedo,1.77,Portugal
Willian,1.75,Brazil
Renato Sanches,1.76,Portugal
Mats Hummels,1.92,Germany
Benjamin Pavard,1.86,France
Morgan Schneiderlin,1.81,France
Moussa Sissoko,1.87,France
Antonio Rüdiger,1.9,Germany
Victor Lindelöf,1.87,Sweden
Karim Benzema,1.85,France
Luka Modric,1.72,Croatia
Thibaut Courtois,1.99,Belgium
Jasper Cillessen,1.85,Netherlands
Mattia Caldara,1.9,Italy
Krzysztof Piatek,1.83,Poland
Lucas Paquetá,1.8,Brazil
Xabi Alonso,1.83,Basque Country
Memphis Depay,1.76,Netherlands
Cesc Fàbregas,1.79,Catalonia
Arda Turan,1.75,Turkey
Ayoze Pérez,1.79,Spain
Marouane Fellaini,1.94,Belgium
Wilfried Bony,1.82,Ivory Coast
André Schürrle,1.84,Germany
Kerem Demirbay,1.85,Germany
Abdou Diallo,1.86,France
Oscar,1.79,Brazil
Gabriel Jesus,1.75,Brazil
Asier Illarramendi,1.79,Basque Country
Iñigo Martínez,1.82,Basque Country
Miralem Pjanic,1.8,Bosnia and Herzegovina
Arkadiusz Milik,1.86,Poland
Marquinhos,1.83,Brazil
Alessandro Bastoni,1.91,Italy
Juan Cuadrado,1.76,Colombia
Adam Lallana,1.72,England
Arthur,,
Robin van Persie,1.83,Netherlands
Eliaquim Mangala,1.88,France
Islam Slimani,1.88,Algeria A'
Alex Iwobi,1.8,Nigeria
Yerry Mina,1.95,Colombia
Mario Gómez,1.89,Germany
Manuel Neuer,1.93,Germany
Ezequiel Lavezzi,1.73,Argentina
Keita Baldé,1.84,Senegal
Aleksandr Golovin,1.8,Russia
Gelson Martins,1.73,Portugal
Idrissa Gueye,1.74,Senegal
Yaya Touré,1.89,Ivory Coast
Roberto Soldado,1.79,Spain
Erik Lamela,1.83,Argentina
Heung-min Son,1.83,South Korea
Lucas Torreira,1.68,Uruguay
Jean Michaël Seri,1.68,Ivory Coast
William Saliba,1.92,France
Ismaïla Sarr,1.85,Senegal
Fábio Coentrão,1.78,Portugal
Isco,1.76,Spain
Rodrigo,1.82,Spain
Paco Alcácer,1.75,Spain
Kévin Gameiro,1.72,France
Álvaro Odriozola,1.76,Spain
Marcos Llorente,1.84,Spain
Carlos Bacca,1.81,Colombia
Fabián Ruiz,1.89,Spain
Mario Balotelli,1.9,Italy
Gabriel Barbosa,1.78,Brazil
Leonardo Spinazzola,1.86,Italy
Dimitri Payet,1.75,France
Emmanuel Adebayor,1.91,Togo
Carlos Tévez,1.73,Argentina
Yannick Bolasie,1.88,DR Congo
David Silva,1.7,Spain
Michael Keane,1.91,England
Jordan Pickford,1.85,England
Mamadou Sakho,1.87,France
Medhi Benatia,1.9,Morocco
Jefferson Lerma,1.78,Colombia
Pablo Fornals,1.78,Spain
Álvaro Negredo,1.86,Spain
Borja Iglesias,1.87,
Milan Skriniar,1.88,Slovakia
Kelechi Iheanacho,1.85,Nigeria
Grzegorz Krychowiak,1.86,Poland
Joleon Lescott,1.88,England
Samir Nasri,1.75,France
