,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
0,0,1913,Sunderland AFC,Premier League,Lorik Cana,25,Centre Back,5.22,2009,Before2016,Olympique Marseille,Ligue 1,D,Tier_2,Tier_1,U25,Under30,10Mto5M,20Mto5M,Albania,87.0,78.0,5.9696,230.0,10.0,85above,75to84,6to6.5,150to300,below20,EU
14,14,1559,VfL Wolfsburg,1 Bundesliga,Karim Ziani,26,Attacking Midfield,6.3,2009,Before2016,Olympique Marseille,Ligue 1,M,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Algeria,79.0,75.0,5.5432,209.0,21.0,75to84,75to84,5.5to6,150to300,20to50,AF
22,22,1923,FC Internazionale,Serie A,Ishak Belfodil,21,Centre Forward,5.18,2013,Before2016,Parma Calcio 1913,Serie A,F,Tier_2,Tier_3,U21,Under23,10Mto5M,20Mto5M,Algeria,83.0,68.0,6.2976,51.0,8.0,75to84,65to74,6to6.5,50to150,below20,AF
23,23,1924,Parma FC,Serie A,Ishak Belfodil,22,Centre Forward,5.18,2014,Before2016,Inter Milan,Serie A,F,Tier_2,Tier_1,U25,Under23,10Mto5M,20Mto5M,Algeria,81.0,74.0,6.2976,59.0,8.0,75to84,65to74,6to6.5,50to150,below20,AF
28,28,1532,FC Internazionale,Serie A,Saphir Taider,21,Central Midfield,6.75,2013,Before2016,Bologna FC 1909,Serie A,M,Tier_2,Tier_2,U21,Under23,10Mto5M,20Mto5M,Algeria,78.12781955,70.90105720000001,5.904,74.0,4.0,75to84,65to74,6to6.5,50to150,below20,AF
31,31,1705,FC Porto,Other,Yacine Brahimi,24,Left Winger,5.85,2014,Before2016,Granada CF,Primera Division,F,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,Algeria,81.0,74.0,5.74,133.0,17.0,75to84,65to74,5.5to6,50to150,below20,AF
34,34,1638,Real Betis Balompié,Primera Division,Ryad Boudebouz,27,Attacking Midfield,6.3,2017,After2016,HSC Montpellier,Ligue 1,M,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,Algeria,81.0,77.0,5.8056,136.1753754,20.22582583,75to84,75to84,5.5to6,50to150,20to50,AF
36,36,188,Leicester City,Premier League,Islam Slimani,28,Centre Forward,27.45,2016,After2016,Sporting CP,Other,F,Tier_1,Tier_2,U30,Under30,40Mto10M,60Mto20M,Algeria,80.0,77.0,6.1664,218.0,99.0,75to84,75to84,6to6.5,150to300,50to100,AF
44,44,1360,Borussia Mönchengladbach,1 Bundesliga,Ramy Bensebaini,24,Left Back,7.2,2019,After2016,Stade Rennais FC,Ligue 1,D,Tier_2,Tier_2,U25,Under30,10Mto5M,20Mto5M,Algeria,81.0,75.0,6.1336,157.0,7.0,75to84,75to84,6to6.5,150to300,below20,AF
45,45,457,FC Schalke 04,1 Bundesliga,Nabil Bentaleb,22,Central Midfield,17.1,2017,After2016,Tottenham Hotspur,Premier League,M,Tier_2,Tier_1,U25,Under23,40Mto10M,20Mto5M,Algeria,85.0,74.0,6.1336,46.0,0.0,85above,65to74,6to6.5,below50,below20,AF
46,46,1132,SSC Napoli,Serie A,Adam Ounas,20,Right Winger,9.0,2017,After2016,FC Girondins Bordeaux,Ligue 1,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,Algeria,82.0,69.0,5.6416,70.0,11.0,75to84,65to74,5.5to6,50to150,below20,AF
47,47,1414,Spartak Moscow,Other,Sofiane Hanni,27,Attacking Midfield,7.2,2017,After2016,RSC Anderlecht,Other,M,Tier_2,Tier_4,U30,Under30,10Mto5M,20Mto5M,Algeria,78.0,74.0,5.8384,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,AF
48,48,29,Manchester City,Premier League,Riyad Mahrez,27,Right Winger,61.02,2018,After2016,Leicester City,Premier League,F,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,Algeria,84.0,84.0,5.8712,305.0,73.0,75to84,75to84,5.5to6,300above,50to100,AF
49,49,727,Leicester City,Premier League,Rachid Ghezzal,26,Right Winger,12.6,2018,After2016,AS Monaco,Ligue 1,F,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Algeria,76.0,76.0,5.9696,167.0,24.0,75to84,75to84,6to6.5,150to300,20to50,AF
