club,club_tier
Juventus,Tier_1
FC Barcelona,Tier_1
Paris Saint-Germain,Tier_1
Manchester City,Tier_1
Real Madrid,Tier_1
Chelsea,Tier_1
Atlético Madrid,Tier_1
FC Bayern München,Tier_1
Tottenham Hotspur,Tier_1
Manchester United,Tier_1
Liverpool,Tier_1
Napoli,Tier_1
Arsenal,Tier_1
Lazio,Tier_1
FC Schalke 04,Tier_2
Valencia CF,Tier_1
Roma,Tier_1
Beşiktaş JK,Tier_4
AS Monaco,Tier_1
FC Porto,Tier_1
Borussia Dortmund,Tier_1
RC Celta,Tier_2
Olympique de Marseille,Tier_2
Real Betis,Tier_2
Atalanta,Tier_4
SL Benfica,Tier_1
Real Sociedad,Tier_2
Milan,Tier_1
Sporting CP,Tier_2
Villarreal CF,Tier_1
Dalian YiFang FC,Tier_4
Sevilla FC,Tier_1
Athletic Club de Bilbao,Tier_1
Al Nassr,Tier_4
OGC Nice,Tier_2
Atlético Mineiro,Tier_4
Grêmio,Tier_4
Bayer 04 Leverkusen,Tier_1
Torino,Tier_4
Ajax,Tier_1
Leicester City,Tier_1
Shanghai SIPG FC,Tier_4
TSG 1899 Hoffenheim,Tier_2
Lokomotiv Moscow,Tier_2
SV Werder Bremen,Tier_2
Toronto FC,Tier_4
Medipol Başakşehir FK,Tier_4
Cruzeiro,Tier_4
Watford,Tier_4
Atlanta United,Tier_4
Borussia Mönchengladbach,Tier_4
Al Hilal,Tier_4
Wolverhampton Wanderers,Tier_2
Fenerbahçe SK,Tier_4
Los Angeles FC,Tier_4
Sassuolo,Tier_4
SD Eibar,Tier_3
Tianjin Quanjian FC,Tier_4
Galatasaray SK,Tier_4
Fluminense,Tier_4
VfB Stuttgart,Tier_2
Boca Juniors,Tier_4
Burnley,Tier_4
Crystal Palace,Tier_2
VfL Wolfsburg,Tier_1
Everton,Tier_2
Southampton,Tier_2
Girona FC,Tier_4
Olympiacos CFP,Tier_2
DC United,Tier_4
Chicago Fire,Tier_4
Cagliari,Tier_4
Hebei China Fortune FC,Tier_4
Tigres U.A.N.L.,Tier_4
AS Saint-Étienne,Tier_4
Sampdoria,Tier_4
Portland Timbers,Tier_4
Chievo Verona,Tier_3
Beijing Renhe FC,Tier_4
Getafe CF,Tier_3
PFC CSKA Moscow,Tier_4
Guangzhou R&F FC,Tier_4
SC Braga,Tier_3
Spartak Moscow,Tier_2
Dynamo Kyiv,Tier_4
Bournemouth,Tier_4
RCD Espanyol,Tier_4
Hertha BSC,Tier_3
FC Augsburg,Tier_3
Deportivo Alavés,Tier_4
Eintracht Frankfurt,Tier_2
Racing Club,Tier_4
Trabzonspor,Tier_4
Stade Rennais FC,Tier_2
PAOK,Tier_4
Jiangsu Suning FC,Tier_4
SC Freiburg,Tier_3
Al Ahli,Tier_4
1. FC Köln,Tier_4
Internacional,Tier_4
América FC (Minas Gerais),Tier_4
Santos,Tier_4
FC Nantes,Tier_3
River Plate,Tier_4
Hamburger SV,Tier_2
RSC Anderlecht,Tier_4
Independiente,Tier_4
Clube Sport Marítimo,Tier_4
UD Las Palmas,Tier_4
San Lorenzo de Almagro,Tier_4
Vissel Kobe,Tier_4
Deportivo Cali,Tier_4
Montpellier HSC,Tier_4
Al Ittihad,Tier_4
Shandong Luneng TaiShan FC,Tier_4
Club Atlas,Tier_4
LOSC Lille,Tier_2
Standard de Liège,Tier_4
Akhisar Belediyespor,Tier_4
Shanghai Greenland Shenhua FC,Tier_4
Godoy Cruz,Tier_4
Stade Malherbe Caen,Tier_4
PSV,Tier_4
Udinese,Tier_4
Portimonense SC,Tier_4
Monterrey,Tier_4
Celtic,Tier_2
Club Atlético Banfield,Tier_4
Deportivo Toluca,Tier_4
Derby County,Tier_3
West Bromwich Albion,Tier_2
Universidad Católica,Tier_4
Rayo Vallecano,Tier_4
Deportivo de La Coruña,Tier_4
BSC Young Boys,Tier_4
FC Basel 1893,Tier_4
Swansea City,Tier_2
Club Atlético Lanús,Tier_4
1. FSV Mainz 05,Tier_4
Göztepe SK,Tier_4
Seattle Sounders FC,Tier_4
Al Wehda,Tier_4
En Avant de Guingamp,Tier_4
Botafogo,Tier_4
Aston Villa,Tier_1
Dijon FCO,Tier_4
Hannover 96,Tier_3
Vitória Guimarães,Tier_4
Çaykur Rizespor,Tier_4
SPAL,Tier_3
AEK Athens,Tier_3
U.N.A.M.,Tier_4
Frosinone,Tier_4
Alanyaspor,Tier_4
Colo-Colo,Tier_4
Club León,Tier_1
Angers SCO,Tier_4
Antalyaspor,Tier_4
Huddersfield Town,Tier_3
MKE Ankaragücü,Tier_4
Chongqing Dangdai Lifan FC SWM Team,Tier_4
Guangzhou Evergrande Taobao FC,Tier_3
Melbourne City FC,Tier_4
Al Taawoun,Tier_4
Club Tijuana,Tier_4
Bahia,Tier_4
Vitória,Tier_4
Sport Club do Recife,Tier_4
Paraná,Tier_4
Kawasaki Frontale,Tier_4
Dinamo Zagreb,Tier_4
Guadalajara,Tier_4
SK Slavia Praha,Tier_4
AZ Alkmaar,Tier_3
Houston Dynamo,Tier_4
Fortuna Düsseldorf,Tier_4
Kayserispor,Tier_4
Stoke City,Tier_2
Holstein Kiel,Tier_4
Atiker Konyaspor,Tier_4
Heracles Almelo,Tier_4
CD Tondela,Tier_4
Perth Glory,Tier_4
FC Sion,Tier_4
Club Atlético Talleres,Tier_4
Club Atlético Colón,Tier_4
Cardiff City,Tier_3
Club Necaxa,Tier_4
Granada CF,Tier_3
Vitória de Setúbal,Tier_4
Argentinos Juniors,Tier_4
Palermo,Tier_3
Panathinaikos FC,Tier_4
Pachuca,Tier_4
Rosario Central,Tier_4
SK Rapid Wien,Tier_4
CD Universidad de Concepción,Tier_4
Orlando City SC,Tier_4
1. FC Nürnberg,Tier_4
Boavista FC,Tier_4
Sydney FC,Tier_4
Urawa Red Diamonds,Tier_4
Vitesse,Tier_4
Brescia,Tier_4
CD Aves,Tier_4
1. FC Heidenheim 1846,Tier_4
Atlético Nacional,Tier_4
Ettifaq FC,Tier_4
Monarcas Morelia,Tier_4
Al Shabab,Tier_4
Chapecoense,Tier_4
Sparta Praha,Tier_4
SK Sturm Graz,Tier_4
Queens Park Rangers,Tier_2
Le Havre AC,Tier_4
Willem II,Tier_4
Aberdeen,Tier_4
Sivasspor,Tier_4
US Salernitana 1919,Tier_4
Club Atlético Tigre,Tier_4
FC Ingolstadt 04,Tier_4
Livorno,Tier_4
IF Elfsborg,Tier_4
Tianjin TEDA FC,Tier_4
Hull City,Tier_2
FC Dallas,Tier_4
Henan Jianye FC,Tier_4
Sheffield Wednesday,Tier_4
Real Oviedo,Tier_4
Santos Laguna,Tier_4
Gimnasia y Esgrima La Plata,Tier_4
AJ Auxerre,Tier_4
Brisbane Roar,Tier_4
Venezia FC,Tier_4
Real Salt Lake,Tier_4
Sanfrecce Hiroshima,Tier_4
CD Numancia,Tier_4
Kaizer Chiefs,Tier_4
Yeni Malatyaspor,Tier_4
SV Darmstadt 98,Tier_4
Ceará Sporting Club,Tier_4
Atlético Paranaense,Tier_4
Lech Poznań,Tier_4
Estudiantes de La Plata,Tier_4
CD Tenerife,Tier_4
Blackburn Rovers,Tier_3
Independiente Santa Fe,Tier_4
Kashima Antlers,Tier_4
Sporting de Charleroi,Tier_4
ADO Den Haag,Tier_4
Real Sporting de Gijón,Tier_4
FC St. Pauli,Tier_4
Malmö FF,Tier_4
Reading,Tier_4
Cerezo Osaka,Tier_4
SK Brann,Tier_4
VfL Bochum 1848,Tier_4
CD Lugo,Tier_4
Vélez Sarsfield,Tier_4
1. FC Union Berlin,Tier_4
Al Qadisiyah,Tier_4
Royal Excel Mouscron,Tier_4
Newell's Old Boys,Tier_4
FC Lorient,Tier_3
Sporting Lokeren,Tier_4
AC Ajaccio,Tier_4
CD Palestino,Tier_4
DSC Arminia Bielefeld,Tier_4
Al Fateh,Tier_4
Newcastle Jets,Tier_4
Lecce,Tier_4
Djurgårdens IF,Tier_4
Yokohama F. Marinos,Tier_4
Querétaro,Tier_4
Sagan Tosu,Tier_4
Patronato,Tier_4
Minnesota United FC,Tier_4
Club Atlético Aldosivi,Tier_4
Atlético Tucumán,Tier_4
Cádiz CF,Tier_4
Kilmarnock,Tier_4
Jeonbuk Hyundai Motors,Tier_4
Preston North End,Tier_4
Wigan Athletic,Tier_3
IFK Norrköping,Tier_4
FC Metz,Tier_4
Orlando Pirates,Tier_4
Gyeongnam FC,Tier_4
Grasshopper Club Zürich,Tier_4
KV Kortrijk,Tier_4
Strømsgodset IF,Tier_4
SV Sandhausen,Tier_4
Crotone,Tier_4
Os Belenenses,Tier_4
Jagiellonia Białystok,Tier_4
Puebla FC,Tier_4
Al Batin,Tier_4
ESTAC Troyes,Tier_4
Júbilo Iwata,Tier_4
FC St. Gallen,Tier_4
Spezia,Tier_4
Patriotas Boyacá FC,Tier_4
Gimnàstic de Tarragona,Tier_4
Deportes Iquique,Tier_4
AD Alcorcón,Tier_4
Kalmar FF,Tier_4
Suwon Samsung Bluewings,Tier_4
Red Star FC,Tier_4
Shimizu S-Pulse,Tier_4
FC Lugano,Tier_4
Cittadella,Tier_4
Adelaide United,Tier_4
Al Faisaly,Tier_4
KFC Uerdingen 05,Tier_4
BK Häcken,Tier_4
Deportes Tolima,Tier_4
FC Tokyo,Tier_4
Birmingham City,Tier_3
FC Seoul,Tier_4
Tiburones Rojos de Veracruz,Tier_4
Carpi,Tier_4
Pohang Steelers,Tier_4
Gamba Osaka,Tier_4
Fortuna Sittard,Tier_4
Jeju United FC,Tier_4
Ipswich Town,Tier_4
VVV-Venlo,Tier_4
Gangwon FC,Tier_4
