url,league_name
241,Spain Primera Division 
11,English Premier League 
5,English Premier League 
243,Spain Primera Division 
1,English Premier League 
9,English Premier League 
22,German 1. Bundesliga 
21,German 1. Bundesliga 
10,English Premier League 
73,French Ligue 1 
245,Holland Eredivisie 
240,Spain Primera Division 
191,Austrian Football Bundesliga 
44,Italian Serie A 
47,Italian Serie A 
45,Italian Serie A 
18,English Premier League 
112172,German 1. Bundesliga 
1943,English Premier League 
48,Italian Serie A 
7,English Premier League 
32,German 1. Bundesliga 
52,Italian Serie A 
34,German 1. Bundesliga 
95,English Premier League 
461,Spain Primera Division 
110,English Premier League 
66,French Ligue 1 
19,English Premier League 
110374,Italian Serie A 
247,Holland Eredivisie 
1792,English Premier League 
449,Spain Primera Division 
1824,German 1. Bundesliga 
38,German 1. Bundesliga 
234,Portuguese Liga ZON SAGRES 
481,Spain Primera Division 
69,French Ligue 1 
219,French Ligue 1 
2,English Premier League 
13,English Premier League 
110679,German 3. Bundesliga 
236,Portuguese Liga ZON SAGRES 
74,French Ligue 1 
237,Portuguese Liga ZON SAGRES 
65,French Ligue 1 
17,English Premier League 
39,Italian Serie A 
23,German 1. Bundesliga 
50,Italian Serie A 
457,Spain Primera Division 
325,Turkish Süper Lig 
28,German 2. Bundesliga 
10029,German 1. Bundesliga 
175,German 1. Bundesliga 
326,Turkish Süper Lig 
190,Italian Serie A 
448,Spain Primera Division 
8,English League Championship 
1799,English Premier League 
1795,English Premier League 
166,German 1. Bundesliga 
211,Croatian Prva HNL 
46,Italian Serie A 
1794,English Premier League 
144,English League Championship 
36,German 2. Bundesliga 
1842,Italian Serie A 
327,Turkish Süper Lig 
113926,English League Two 
78,Scottish Premiership 
72,French Ligue 1 
229,Belgian Jupiler Pro League 
1879,Mexican Liga MX 
1877,Argentina Primera División  
483,Spain Primera Division 
105035,International
31,German 1. Bundesliga 
101088,Argentina Primera División  
1370,International
1808,English Premier League 
1335,International
452,Spain Primera Division 
169,German 1. Bundesliga 
246,Holland Eredivisie 
450,Spain Primera Division 
25,German 1. Bundesliga 
110556,Italian Serie A 
1337,International
462,Spain Primera Division 
91,English League Championship 
1876,Argentina Primera División  
436,Turkish Süper Lig 
1880,Mexican Liga MX 
453,Spain Primera Division 
1806,English League Championship 
1790,English League One 
1819,French Ligue 1 
1796,English Premier League 
110636,German 1. Bundesliga 
1386,International
189,Italian Serie A 
1318,International
71,French Ligue 1 
14,English League Championship 
101059,Ukrainian Premier League 
1362,International
54,Italian Serie A 
106,English League One 
1960,English League Championship 
59,French Ligue 1 
100409,German 1. Bundesliga 
697,USA Major League Soccer 
1878,Mexican Liga MX 
673,Belgian Jupiler Pro League 
1369,International
1860,Spain Primera Division 
112885,USA Major League Soccer 
112996,USA Major League Soccer 
1354,International
109,English League Championship 
86,Scottish Premiership 
1032,Mexican Liga MX 
1831,German 1. Bundesliga 
485,German 2. Bundesliga 
1906,Holland Eredivisie 
1939,English League Championship 
55,Italian Serie A 
896,Swiss Super League 
101085,Argentina Primera División  
1970,Mexican Liga MX 
242,Spanish Segunda División 
94,English League One 
1343,International
1028,Mexican Liga MX 
1837,Italian Serie A 
76,French Ligue 1 
1629,Campeonato Brasileiro Série A 
674,Belgian Jupiler Pro League 
231,Belgian Jupiler Pro League 
101014,Turkish Süper Lig 
1325,International
1961,English League Championship 
315,Russian Premier League 
1387,International
110062,Spanish Segunda División 
111974,Italian Serie A 
100761,Romanian Liga I 
112809,Portuguese Liga ZON SAGRES 
70,French Ligue 1 
171,German 2. Bundesliga 
4,English League One 
1925,English League Championship 
1853,Spain Primera Division 
479,Spain Primera Division 
101047,Ukrainian Premier League 
1809,French Ligue 1 
110395,Argentina Primera División  
100767,Russian Premier League 
111839,Chinese Super League 
573,Spanish Segunda División 
29,German 3. Bundesliga 
88,English League Championship 
3,English League Championship 
12,English League Championship 
280,Greek Super League 
15,English League Championship 
33,German 3. Bundesliga 
472,Spanish Segunda División 
463,Spain Primera Division 
1952,English League Championship 
100765,Russian Premier League 
244,Spanish Segunda División 
232,Belgian Jupiler Pro League 
