year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Alabama,AL,Autauga,1001,President,Al Gore,democrat,4942,17208,20191203
2000,Alabama,AL,Autauga,1001,President,George W. Bush,republican,11993,17208,20191203
2000,Alabama,AL,Autauga,1001,President,Ralph Nader,green,160,17208,20191203
2000,Alabama,AL,Autauga,1001,President,Other,NA,113,17208,20191203
2000,Alabama,AL,Baldwin,1003,President,Al Gore,democrat,13997,56480,20191203
2000,Alabama,AL,Baldwin,1003,President,George W. Bush,republican,40872,56480,20191203
2000,Alabama,AL,Baldwin,1003,President,Ralph Nader,green,1033,56480,20191203
2000,Alabama,AL,Baldwin,1003,President,Other,NA,578,56480,20191203
2000,Alabama,AL,Barbour,1005,President,Al Gore,democrat,5188,10395,20191203
2000,Alabama,AL,Barbour,1005,President,George W. Bush,republican,5096,10395,20191203
2000,Alabama,AL,Barbour,1005,President,Ralph Nader,green,46,10395,20191203
2000,Alabama,AL,Barbour,1005,President,Other,NA,65,10395,20191203
2000,Alabama,AL,Bibb,1007,President,Al Gore,democrat,2710,7101,20191203
2000,Alabama,AL,Bibb,1007,President,George W. Bush,republican,4273,7101,20191203
2000,Alabama,AL,Bibb,1007,President,Ralph Nader,green,52,7101,20191203
2000,Alabama,AL,Bibb,1007,President,Other,NA,66,7101,20191203
2000,Alabama,AL,Blount,1009,President,Al Gore,democrat,4977,17973,20191203
2000,Alabama,AL,Blount,1009,President,George W. Bush,republican,12667,17973,20191203
2000,Alabama,AL,Blount,1009,President,Ralph Nader,green,154,17973,20191203
2000,Alabama,AL,Blount,1009,President,Other,NA,175,17973,20191203
2000,Alabama,AL,Bullock,1011,President,Al Gore,democrat,3395,4904,20191203
2000,Alabama,AL,Bullock,1011,President,George W. Bush,republican,1433,4904,20191203
2000,Alabama,AL,Bullock,1011,President,Ralph Nader,green,24,4904,20191203
2000,Alabama,AL,Bullock,1011,President,Other,NA,52,4904,20191203
2000,Alabama,AL,Butler,1013,President,Al Gore,democrat,3606,7803,20191203
2000,Alabama,AL,Butler,1013,President,George W. Bush,republican,4127,7803,20191203
2000,Alabama,AL,Butler,1013,President,Ralph Nader,green,36,7803,20191203
2000,Alabama,AL,Butler,1013,President,Other,NA,34,7803,20191203
2000,Alabama,AL,Calhoun,1015,President,Al Gore,democrat,15781,38909,20191203
2000,Alabama,AL,Calhoun,1015,President,George W. Bush,republican,22306,38909,20191203
2000,Alabama,AL,Calhoun,1015,President,Ralph Nader,green,481,38909,20191203
