CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Republican,High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,High,Medium,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Medium,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,Very High
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Democrat,Very Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Medium,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Leaning Democrat,High,Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Republican,Medium,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very High,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Democrat,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Republican,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Even,Very Low,High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Low,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Low,Medium,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,High
Heavily Democrat,Medium,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Medium,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Republican,Very Low,Very High,FrequentlyWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Even,Very Low,High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,High
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,High
Heavily Republican,High,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
