CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,High,Medium,Medium,metropolitan,Republican,Low,Lifted,High
Heavily Republican,High,Low,Medium,metropolitan,Republican,Medium,Lifted,High
Leaning Republican,Very Low,Very High,Medium,noncore,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,High,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Medium,Very High,Medium,metropolitan,Republican,High,Lifted,High
Heavily Democrat,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Very High
Leaning Republican,Very Low,High,Medium,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Very Low,High,Medium,micropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Low,Lifted,High
Heavily Republican,Low,High,High,metropolitan,Republican,Low,Lifted,Very High
Leaning Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,High
Leaning Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Republican,High,Medium,Medium,micropolitan,Republican,Low,Lifted,High
Heavily Republican,Medium,High,Medium,metropolitan,Republican,High,Lifted,High
Leaning Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,Low,micropolitan,Republican,Low,Lifted,Low
Heavily Republican,Very Low,High,Low,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,Low,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,High,Medium,micropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,Very High,Medium,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,High,noncore,Republican,Medium,Lifted,Very High
Heavily Republican,Very High,Medium,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,Low,noncore,Republican,High,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,High,Lifted,High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,metropolitan,Republican,Medium,Lifted,High
Heavily Democrat,Very Low,Very High,High,noncore,Republican,Low,Lifted,Very High
Democrat,Very Low,High,High,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,Medium,micropolitan,Republican,Medium,Lifted,Very High
Leaning Democrat,High,Low,High,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,High
Heavily Republican,Medium,Medium,Medium,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Low,Very High,Low,metropolitan,Republican,Medium,Lifted,Medium
Republican,Medium,Low,Medium,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very High,High,Low,metropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,Very High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Democrat,Very Low,High,Medium,noncore,Republican,Low,Lifted,High
Republican,Very High,Low,High,metropolitan,Republican,High,Lifted,Medium
Even,Very Low,High,Medium,noncore,Republican,Medium,Lifted,Very High
