"","priors_count","sex","age_cat","Freq"
"1","H","Female","25 - 45",0.470170454545455
"2","L","Female","25 - 45",0.529829545454545
"3","H","Male","25 - 45",0.633476088508208
"4","L","Male","25 - 45",0.366523911491792
"5","H","Female","Greater than 45",0.393822393822394
"6","L","Female","Greater than 45",0.606177606177606
"7","H","Male","Greater than 45",0.587906976744186
"8","L","Male","Greater than 45",0.412093023255814
"9","H","Female","Less than 25",0.27734375
"10","L","Female","Less than 25",0.72265625
"11","H","Male","Less than 25",0.344402277039848
"12","L","Male","Less than 25",0.655597722960152
