,N,newman_p,av_deg,dia,ave_clu,policy_power,threshold,a_t_m,a_t_std,I_P_N_m,I_P_N_std,I_P_T_m,I_P_T_std,S_F_N_m,S_F_N_std,S_F_T_m,S_F_T_std
0,1500,0.65,6.562,7,0.191541984,0,0.01,1.623,0.344,1054.5,24.402,12.907,0.872,1.6,1.356,30.911,5.869
1,1500,0.65,6.562,7,0.191541984,0,0.04,3.5,0.467,1052.8,18.291,12.704,0.557,1.8,1.166,31.453,7.416
2,1500,0.65,6.562,7,0.191541984,0,0.08,5.02,0.603,1063.4,20.631,13.04,0.849,2.4,1.685,27.734,4.643
3,1500,0.65,6.562,7,0.191541984,0,0.1,5.126,0.512,1051.7,20.318,12.951,0.8,1.9,1.446,28.666,6.339
4,1500,0.65,6.562,7,0.191541984,0,0.15,6.437,0.584,1051.8,13.891,13.5,0.717,1.3,0.9,27.309,3.477
5,1500,0.65,6.562,7,0.191541984,0,0.2,6.81,0.468,1054.1,14.781,13.188,0.68,0.8,0.872,27.899,2.728
6,1500,0.65,6.562,7,0.191541984,0,0.25,7.333,0.676,1040.1,22.007,13.17,0.585,2.1,1.221,30.551,4.086
7,1500,0.65,6.562,7,0.191541984,0,0.3,7.917,0.899,1036.4,32.574,13.099,0.974,1.6,1.625,29.35,5.602
8,1500,0.65,6.562,7,0.191541984,0,0.35,8.075,0.447,1041.8,15.924,13.092,0.775,1.4,1.497,32.899,8.278
9,1500,0.65,6.562,7,0.191541984,0,0.4,8.361,0.841,1047.2,20.707,12.973,0.793,1.7,0.64,26.534,2.18
10,1500,0.65,6.56,7,0.195099656,0.1,0.01,1.548,0.259,1009.5,16.56,15.042,1.053,2.7,1.552,34.664,4.304
11,1500,0.65,6.56,7,0.195099656,0.1,0.04,3.889,0.719,1017.4,16.913,14.371,0.695,4.4,2.245,33.712,7.428
12,1500,0.65,6.56,7,0.195099656,0.1,0.08,4.977,0.545,1012.8,20.454,14.032,0.641,2.2,1.249,32.583,5.457
13,1500,0.65,6.56,7,0.195099656,0.1,0.1,5.302,0.684,1009.6,21.914,13.768,0.789,3.9,2.166,34.748,7.121
14,1500,0.65,6.56,7,0.195099656,0.1,0.15,6.229,0.655,1025.7,18.456,13.759,0.949,4.1,1.578,30.687,4.516
15,1500,0.65,6.56,7,0.195099656,0.1,0.2,6.872,0.809,1016.6,10.528,13.458,0.766,3.6,1.744,32.118,6.462
16,1500,0.65,6.56,7,0.195099656,0.1,0.25,7.437,0.579,1029.5,21.883,13.627,0.709,2.6,1.356,29.861,4.011
17,1500,0.65,6.56,7,0.195099656,0.1,0.3,7.59,0.65,1014.3,24.413,13.49,0.685,5.1,2.587,32.442,7.914
18,1500,0.65,6.56,7,0.195099656,0.1,0.35,8.45,0.428,1031.6,18.456,13.906,0.852,4.2,2.482,31.62,2.16
19,1500,0.65,6.56,7,0.195099656,0.1,0.4,8.479,0.579,1019,22.307,13.064,0.715,3.6,1.8,34.337,7.597
20,1500,0.65,6.646,7,0.188241945,0.2,0.01,1.821,0.281,976.2,15.4,15.735,0.952,6.4,3.007,37.414,5.702
21,1500,0.65,6.646,7,0.188241945,0.2,0.04,4.061,0.567,994.3,17.135,15.109,0.867,6,2.828,35.648,7.496
22,1500,0.65,6.646,7,0.188241945,0.2,0.08,4.933,0.656,989.5,19.195,14.809,1.144,3.8,1.249,36.417,3.643
23,1500,0.65,6.646,7,0.188241945,0.2,0.1,5.075,0.396,985.3,17.047,14.016,0.48,5.6,1.428,34.754,2.838
24,1500,0.65,6.646,7,0.188241945,0.2,0.15,6.343,0.53,982.1,22.647,14.249,0.803,7.2,3.628,36.025,6.252
25,1500,0.65,6.646,7,0.188241945,0.2,0.2,6.677,0.503,996.8,32.174,13.862,0.593,5.6,2.577,35.091,5.836
26,1500,0.65,6.646,7,0.188241945,0.2,0.25,6.97,0.678,998.2,24.128,13.381,0.664,5.4,2.498,33.895,5.183
27,1500,0.65,6.646,7,0.188241945,0.2,0.3,7.565,0.608,1002.1,28.529,13.455,0.566,5.3,2.571,33.332,4.663
28,1500,0.65,6.646,7,0.188241945,0.2,0.35,7.816,0.889,1003.7,14.206,13.448,0.822,5,2.72,37.045,10.732
29,1500,0.65,6.646,7,0.188241945,0.2,0.4,8.634,0.537,1002.6,16.126,13.943,0.733,5.2,2.482,34.088,5.878
